"LINE_ID","RESERVATION_TYPE","RESERVATION_METHOD","RESEKON_DOCTOR_CODE","RESEKON_MEDICAL_CODE","LINEGROUP_ID","LINE_NAME","LINE_NAME_COUPON_FG","LINE_NAME_SHORT","SEQ_NO","DISPLAY_PITCH","TIME_REQUIRED","OUTSIDE_RESERVATION","RESERVATION_TIME_SET","RESERVATION_TIME_FROM","RESERVATION_TIME_TO","CANCELLATION_TYPE","CANCELLATION_TIME","CANCELLATION_DAYS","CANCELLATION_HOURS","CANCELLATION_MINUTES","INTERVIEW_ID","FAMILY_RESERVATION_YN","FAMILY_RESERVATION_NUM","DELAY_TIME_THRESHOLD","WAITING_TIME_DISP_YN_B","WAITING_NUM_DISP_YN_1","WAITING_TIME_DISP_YN_1","CALLING_NUMBER_DISP_YN_1","DELAY_TIME_DISP_YN_1","EXPECTED_TIME_YN_1","WAITING_NUM_DISP_YN_2","WAITING_TIME_DISP_YN_2","CALLING_NUMBER_DISP_YN_2","DELAY_TIME_DISP_YN_2","EXPECTED_TIME_YN_2","WAITING_NUM_DISP_YN_3","WAITING_TIME_DISP_YN_3","CALLING_NUMBER_DISP_YN_3","MEMO_APPOINT_YN","PICKUP_ADDRESS_DISP_YN","RESERVATION_NOCHOICES_YN","AUTO_RESERVATION_SETTING_TIMEZONE","AUTO_RESERVATION_SETTING_FLAME","RESERVATION_LIMIT_PER_WEEK","RESERVATION_LIMIT_PER_DAY","RESERVATION_LIMIT_PER_MONTH","RESERVATION_INTERVAL","CALL_BUTTON_ID_1","CALL_BUTTON_ID_2","CALL_BUTTON_ID_3","CALL_BUTTON_ID_4","CALL_BUTTON_ID_5","LINE_EXPLANATION_YN","LINE_EXPLANATION","QUESTIONNAIRE_YN","QUESTIONNAIRE_TITLE","WEB_TICKETING","WEB_TICKETING_TARGET","HOSPITAL_TICKETING","HOSPITAL_TICKETING_TARGET","CANCEL_TICKETING","PRINT_TITLE_TIME","PRINT_TITLE_ORDER","PRINT_TITLE_MANAGE","PRINT_DATETIME","PRINT_NAME","PRINT_EXAMINATION_NO","PRINT_AGE","PRINT_CATALOG_NAME","PRINT_APPOINT_DATE","PRINT_LINE_NAME","PRINT_TIMEZONE_NAME","PRINT_ACCEPTANCE_NO","PRINT_RESERVATION_NAME","PRINT_CHOICES_CONTENT","PRINT_MEMO_APPOINT","PRINT_MEMO_NOW","QR_CODE","CAUTION","COMMENT","MEDICAL_SUBJECT","TEMP_RECEPTION_FG","AUTO_RESERVATION_END_FG","IVR_RESERVATION_FG","CHECKIN_RESERVATION","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DELETE_FG","DATA_VERSION"
"15","2",\N,\N,\N,"0","カレンダー<hr>カレンダー","0","カレンダー<hr>カレンダー","15","1380","1380","0","0","90","0","2","0","0","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0","0","0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,"0",\N,"1","0","B5471","2017-09-29 16:07:20","OP120","2018-10-19 15:15:21","0","2"
"16","2",\N,\N,\N,"0","test1003","0","test1003","16","1380","1380","0","0","90","0","2","0","0","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0","0","0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,"0",\N,"1","0","B5471","2017-10-03 15:48:12","OP120","2018-10-19 15:15:21","0","2"
"17","2",\N,\N,\N,"0","test1003_02","0","test1003_02","17","1380","1380","0","0","90","0","2","0","0","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0","0","0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,"0",\N,"1","0","B5471","2017-10-03 16:40:06","OP120","2018-10-19 15:15:21","0","2"
"18","2",\N,\N,\N,"0","test1003_003","0","test1003_003","18","1380","1380","0","0","90","0","2","0","0","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0","0","0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,"0",\N,"1","0","B5471","2017-10-03 17:10:13","OP120","2018-10-19 15:15:21","0","2"
"19","2",\N,\N,\N,"0","test1003_04","0","test1003_04","19","1380","1380","0","0","90","0","2","0","0","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0","0","0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,"0",\N,"1","0","B5471","2017-10-03 17:19:15","OP120","2018-10-19 15:15:21","0","2"
"20","2",\N,\N,\N,"0","18250用","0","18250用","20","1380","1380","1","0","90","0","2","0","0","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0","0","0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,"0",\N,"1","0","B5471","2017-10-13 17:03:15","OP120","2018-10-19 15:15:21","0","2"
"21","2",\N,\N,\N,"0","18250用時間割なし","0","18250用時間割なし","21","1380","1380","1","0","90","0","2","0","0","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0","0","0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,"0",\N,"1","0","B5471","2017-10-13 18:44:10","OP120","2018-10-19 15:15:21","0","2"
"22","2",\N,\N,\N,"0","test1018",\N,"test1018","2","1380","1380","1","0","90","0","2","0","0","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0","0","0","0",\N,\N,\N,\N,\N,\N,\N,"0",\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,\N,"0",\N,"1","0","B5471","2017-10-18 16:17:00","OP120","2018-10-19 15:15:21","0","27"
"23","2",\N,\N,\N,"0","ああああああああああああああああああ","0","ああああああああああああああああああ","23","1380","1380","0","0","90","0","2","0","0","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0","0","0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,"0",\N,"1","0","B5471","2017-10-23 13:50:11","OP120","2018-10-19 15:15:21","0","2"
"24","2",\N,\N,\N,"0","1026","0","1026","22","1380","1380","0","0","90","0","2","0","0","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0","0","0","0",\N,\N,\N,\N,\N,\N,\N,"7006",\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,"0",\N,"1","0","B5471","2017-10-26 14:09:37","OP120","2018-10-19 15:15:21","0","5"
"25","2",\N,\N,\N,"0","カレンダーみほん","0","カレンダーみほん","24","1380","1380","1","0","90","0","2","0","30","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0","0","0","0",\N,\N,\N,\N,\N,\N,\N,"12029",\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,"0",\N,"1","0","A83","2017-10-30 16:12:21","OP120","2018-10-19 15:15:21","0","16"
"26","2",\N,\N,\N,"0","test20171107","0","test20171107","25","1380","1380","0","0","90","0","2","0","7","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0","0","0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,"0",\N,"1","0","B5471","2017-11-07 15:56:23","OP120","2018-10-19 15:15:21","0","1"
"29","2",\N,\N,\N,"0","GGGGGGGGGGGGG","0","GGGGGGGGGGGGG","26","1380","1380","0","0","90","0","2","0","7","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0","0","0","0",\N,\N,\N,\N,\N,\N,\N,"6",\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,"0",\N,"1","0","B5471","2017-11-22 09:48:19","OP120","2018-10-19 15:15:21","0","3"
"30","2",\N,\N,\N,"0","aaaaaaaaaaaaaaaaaaaaaa","0","aaaaaaaaaaaaaaaaaaaaaa","27","1380","1380","1","0","90","0","2","0","7","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0","0","0","0",\N,\N,\N,\N,\N,\N,\N,"2001",\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,"0",\N,"1","0","B5471","2017-12-14 17:56:14","OP120","2018-10-19 15:15:21","0","12"
"31","2",\N,\N,\N,"0","ｚｚｚｚｚｚｚｚｚｚｚｚｚｚｚｚｚｚｚｚ","0","ｚｚｚｚｚｚｚｚｚｚｚｚｚｚｚｚｚｚｚｚ","28","1380","1380","0","0","90","0","2","0","7","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0","0","0","0",\N,\N,\N,\N,\N,\N,\N,"7006",\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,"0",\N,"1","0","B5471","2017-12-15 11:12:06","OP120","2018-10-19 15:15:21","0","2"
"32","2",\N,\N,\N,"0","e20537","0","e20537","29","1380","1380","1","0","90","0","2","0","7","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0","0","0","0",\N,\N,\N,\N,\N,\N,\N,"6",\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,"0",\N,"1","0","A166","2017-12-22 16:45:49","OP120","2018-10-19 15:15:21","0","2"
"33","2",\N,\N,\N,"0","テスト#21326","0","テスト#21326","30","1380","1380","1","0","90","0","2","0","7","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0","0","0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,"0",\N,"1","0","A131","2018-02-14 14:12:53","OP120","2018-10-19 15:15:21","0","1"
"34","2",\N,\N,\N,"0","新規テスト","0","新規テスト","31","1380","1380","1","0","90","0","2","0","7","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0","0","0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,"0",\N,"1","0","B5471","2018-04-27 12:32:57","OP120","2018-10-19 15:15:21","0","1"
"35","2",\N,\N,\N,"0","0円カレンダー","0","0円カレンダー","32","1380","1380","1","0","90","0","2","0","7","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0","0","0","0",\N,\N,\N,\N,\N,\N,\N,"6",\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,"0",\N,"1","0","B5471","2018-05-17 11:39:20","OP120","2018-10-19 15:15:21","0","2"
"36","2",\N,\N,\N,"0","スペシャルカレンダー","0","スペシャルカレンダー","33","1380","1380","1","0","90","0","2","0","7","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0","0","0","0",\N,\N,\N,\N,\N,\N,"6000","6",\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,"0",\N,"1","0","A260","2018-06-20 10:11:33","A278","2018-10-25 09:59:26","0","4"
"37","2",\N,\N,\N,"0","受付可能期間調査","0","受付可能期間調査","34","1380","1380","1","0","90","0","2","0","7","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0","0","0","0",\N,\N,\N,\N,\N,\N,"6000","6",\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,\N,"0",\N,"1","0","B5471","2018-07-18 22:16:22","A278","2018-10-25 13:42:50","0","11"
"38","2",\N,\N,\N,"0","変更キャンセル受付期限","0","変更キャンセル受付期限","35","1380","1380","1","0","90","0","2","0","7","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0","0","0","0",\N,\N,\N,\N,\N,\N,"6000","6",\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,\N,"0",\N,"1","0","B5471","2018-07-24 16:40:32","A335","2018-12-17 14:31:53","0","7"
"39","2",\N,\N,\N,"0","メール試験","0","メール試験","36","1380","1380","1","0","90","0","2","0","7","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0","0","0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,\N,"0",\N,"1","0","B5471","2018-07-30 13:38:58","OP120","2018-10-19 15:15:21","0","1"
"40","2",\N,\N,\N,"0","test","0","test","37","1380","1380","0","0","90","0","2","0","7","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0","0","0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,\N,"0",\N,"1","0","B5471","2018-08-07 21:38:55","OP120","2018-10-19 15:15:21","0","1"
"41","2",\N,\N,\N,"0","#24581確認用",\N,"#24581確認用","38","1380","1380","1","0","90","0","2","0","7","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0",\N,\N,\N,\N,\N,\N,"6000","6",\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,\N,"0",\N,"1","0","A248","2018-08-30 14:23:07","A248","2019-05-30 16:33:47","0","6"
"42","2",\N,\N,\N,"0","#24581確認用-WEB受付あり・登録済み検査コースあり",\N,"#24581確認用-WEB受付あり・登録済み検査コースあり","39","1380","1380","1","0","90","0","2","0","7","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0","0","0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,\N,"0",\N,"1","0","A248","2018-08-30 16:54:05","OP120","2018-10-19 15:15:21","0","1"
"43","2",\N,\N,\N,"0","#24581確認用-WEB受付無・登録済み検査コースあり",\N,"#24581確認用-WEB受付無・登録済み検査コースあり","40","1380","1380","0","0","90","0","2","0","7","0","0","0","1","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0","0","0","0","0","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1","1","1","1","1","1","1","1","1","1","1","1",\N,\N,\N,\N,"0",\N,"1","0","A248","2018-08-30 17:06:00","OP120","2018-10-19 15:15:21","0","12"
