"hospital_no","course_no","option_group_cd","rgst","updt","created_id","updated_id"
"20000","20019","8","2019-09-24 08:41:52","2019-09-24 08:41:52","B37663","B37663"
"20000","20020","1","2019-09-24 08:41:00","2019-09-24 08:41:00","B37663","B37663"
"20000","20020","2","2019-09-24 08:41:00","2019-09-24 08:41:00","B37663","B37663"
"20000","20020","3","2019-09-24 08:41:00","2019-09-24 08:41:00","B37663","B37663"
"20000","20020","4","2019-09-24 08:41:00","2019-09-24 08:41:00","B37663","B37663"
"20000","20020","5","2019-09-24 08:41:00","2019-09-24 08:41:00","B37663","B37663"
"20000","20020","6","2019-09-24 08:41:00","2019-09-24 08:41:00","B37663","B37663"
"20000","20020","7","2019-09-24 08:41:00","2019-09-24 08:41:00","B37663","B37663"
"20000","20020","8","2019-09-24 08:41:00","2019-09-24 08:41:00","B37663","B37663"
"20000","20021","1","2019-09-24 08:40:42","2019-09-24 08:40:42","B37663","B37663"
"20000","20021","2","2019-09-24 08:40:42","2019-09-24 08:40:42","B37663","B37663"
"20000","20021","3","2019-09-24 08:40:42","2019-09-24 08:40:42","B37663","B37663"
"20000","20021","4","2019-09-24 08:40:42","2019-09-24 08:40:42","B37663","B37663"
"20000","20021","5","2019-09-24 08:40:42","2019-09-24 08:40:42","B37663","B37663"
"20000","20021","6","2019-09-24 08:40:42","2019-09-24 08:40:42","B37663","B37663"
"20000","20021","7","2019-09-24 08:40:42","2019-09-24 08:40:42","B37663","B37663"
"20000","20023","2","2019-09-24 08:42:55","2019-09-24 08:42:55","B37663","B37663"
"20000","20023","3","2019-09-24 08:42:55","2019-09-24 08:42:55","B37663","B37663"
"20000","20023","4","2019-09-24 08:42:55","2019-09-24 08:42:55","B37663","B37663"
"20000","20023","5","2019-09-24 08:42:55","2019-09-24 08:42:55","B37663","B37663"
"20000","20023","6","2019-09-24 08:42:55","2019-09-24 08:42:55","B37663","B37663"
"20000","20023","7","2019-09-24 08:42:55","2019-09-24 08:42:55","B37663","B37663"
"20000","20025","1","2018-10-04 10:26:35","2018-10-04 10:26:35","B82925","B82925"
"20000","20025","2","2018-10-04 10:26:35","2018-10-04 10:26:35","B82925","B82925"
"20000","20025","3","2018-10-04 10:26:35","2018-10-04 10:26:35","B82925","B82925"
"20000","20025","4","2019-01-18 16:37:53","2019-01-18 16:37:53","A2062","A2062"
"20000","20025","5","2018-10-04 10:26:35","2018-10-04 10:26:35","B82925","B82925"
"20000","20025","6","2018-10-04 10:26:35","2018-10-04 10:26:35","B82925","B82925"
"20000","20025","7","2018-10-04 10:26:35","2018-10-04 10:26:35","B82925","B82925"
"20000","20026","1","2019-09-24 08:42:11","2019-09-24 08:42:11","B37663","B37663"
"20000","20026","2","2019-09-24 08:42:11","2019-09-24 08:42:11","B37663","B37663"
"20000","20026","3","2019-09-24 08:42:11","2019-09-24 08:42:11","B37663","B37663"
"20000","20026","4","2019-09-24 08:42:11","2019-09-24 08:42:11","B37663","B37663"
"20000","20026","5","2019-09-24 08:42:11","2019-09-24 08:42:11","B37663","B37663"
"20000","20026","6","2019-09-24 08:42:11","2019-09-24 08:42:11","B37663","B37663"
"20000","20026","7","2019-09-24 08:42:11","2019-09-24 08:42:11","B37663","B37663"
"20000","20027","9","2019-01-31 13:05:17","2019-01-31 13:05:17","A2062","A2062"
"20000","20028","1","2018-05-22 15:58:12","2018-05-22 15:58:12","B82925","B82925"
"20000","20028","2","2018-05-22 15:58:12","2018-05-22 15:58:12","B82925","B82925"
"20000","20028","3","2018-05-22 15:58:12","2018-05-22 15:58:12","B82925","B82925"
"20000","20028","5","2018-05-22 15:58:12","2018-05-22 15:58:12","B82925","B82925"
"20000","20028","6","2018-05-22 15:58:12","2018-05-22 15:58:12","B82925","B82925"
"20000","20028","7","2018-05-22 15:58:12","2018-05-22 15:58:12","B82925","B82925"
"20000","20029","1","2018-08-28 08:51:31","2018-08-28 08:51:31","B82925","B82925"
"20000","20029","2","2018-08-28 08:51:31","2018-08-28 08:51:31","B82925","B82925"
"20000","20029","3","2018-08-28 08:51:31","2018-08-28 08:51:31","B82925","B82925"
"20000","20029","4","2019-01-18 16:37:53","2019-01-18 16:37:53","A2062","A2062"
"20000","20029","5","2018-08-28 08:51:31","2018-08-28 08:51:31","B82925","B82925"
"20000","20029","6","2018-08-28 08:51:31","2018-08-28 08:51:31","B82925","B82925"
"20000","20029","7","2018-08-28 08:51:31","2018-08-28 08:51:31","B82925","B82925"
"20000","20030","9","2019-01-31 13:06:05","2019-01-31 13:06:05","A2062","A2062"
"20000","20031","1","2019-12-02 17:25:20","2019-12-02 17:25:20","A3211","A3211"
"20000","20031","2","2019-12-02 17:25:20","2019-12-02 17:25:20","A3211","A3211"
"20000","20031","3","2019-12-02 17:25:20","2019-12-02 17:25:20","A3211","A3211"
"20000","20031","4","2019-12-02 17:25:20","2019-12-02 17:25:20","A3211","A3211"
"20000","20031","5","2019-12-02 17:25:20","2019-12-02 17:25:20","A3211","A3211"
"20000","20031","6","2019-12-02 17:25:20","2019-12-02 17:25:20","A3211","A3211"
"20000","20031","7","2019-12-02 17:25:20","2019-12-02 17:25:20","A3211","A3211"
"20000","20032","1","2019-12-02 17:25:33","2019-12-02 17:25:33","A3211","A3211"
"20000","20032","2","2019-12-02 17:25:33","2019-12-02 17:25:33","A3211","A3211"
"20000","20032","3","2019-12-02 17:25:33","2019-12-02 17:25:33","A3211","A3211"
"20000","20032","4","2019-12-02 17:25:33","2019-12-02 17:25:33","A3211","A3211"
"20000","20032","5","2019-12-02 17:25:33","2019-12-02 17:25:33","A3211","A3211"
"20000","20032","6","2019-12-02 17:25:33","2019-12-02 17:25:33","A3211","A3211"
"20000","20032","7","2019-12-02 17:25:33","2019-12-02 17:25:33","A3211","A3211"
"20000","20032","8","2019-12-02 17:25:33","2019-12-02 17:25:33","A3211","A3211"
"20000","20033","1","2019-12-02 17:24:55","2019-12-02 17:24:55","A3211","A3211"
"20000","20033","2","2019-12-02 17:24:55","2019-12-02 17:24:55","A3211","A3211"
"20000","20033","3","2019-12-02 17:24:55","2019-12-02 17:24:55","A3211","A3211"
"20000","20033","4","2019-12-02 17:24:55","2019-12-02 17:24:55","A3211","A3211"
"20000","20033","5","2019-12-02 17:24:55","2019-12-02 17:24:55","A3211","A3211"
"20000","20033","6","2019-12-02 17:24:55","2019-12-02 17:24:55","A3211","A3211"
"20000","20033","7","2019-12-02 17:24:55","2019-12-02 17:24:55","A3211","A3211"
"20000","20033","8","2019-12-02 17:24:55","2019-12-02 17:24:55","A3211","A3211"
"20000","20034","1","2019-12-02 17:27:59","2019-12-02 17:27:59","A3211","A3211"
"20000","20034","2","2019-12-02 17:27:59","2019-12-02 17:27:59","A3211","A3211"
"20000","20034","3","2019-12-02 17:27:59","2019-12-02 17:27:59","A3211","A3211"
"20000","20034","4","2019-12-02 17:27:59","2019-12-02 17:27:59","A3211","A3211"
"20000","20034","5","2019-12-02 17:27:59","2019-12-02 17:27:59","A3211","A3211"
"20000","20034","6","2019-12-02 17:27:59","2019-12-02 17:27:59","A3211","A3211"
"20000","20034","7","2019-12-02 17:27:59","2019-12-02 17:27:59","A3211","A3211"
"20000","20034","8","2019-12-02 17:27:59","2019-12-02 17:27:59","A3211","A3211"
"20000","20035","1","2019-12-02 17:26:23","2019-12-02 17:26:23","A3211","A3211"
"20000","20035","2","2019-12-02 17:26:23","2019-12-02 17:26:23","A3211","A3211"
"20000","20035","3","2019-12-02 17:26:23","2019-12-02 17:26:23","A3211","A3211"
"20000","20035","4","2019-12-02 17:26:23","2019-12-02 17:26:23","A3211","A3211"
"20000","20035","5","2019-12-02 17:26:23","2019-12-02 17:26:23","A3211","A3211"
"20000","20035","6","2019-12-02 17:26:23","2019-12-02 17:26:23","A3211","A3211"
"20000","20035","7","2019-12-02 17:26:23","2019-12-02 17:26:23","A3211","A3211"
"20000","20036","1","2019-12-02 17:27:29","2019-12-02 17:27:29","A3211","A3211"
"20000","20036","2","2019-12-02 17:27:29","2019-12-02 17:27:29","A3211","A3211"
"20000","20036","3","2019-12-02 17:27:29","2019-12-02 17:27:29","A3211","A3211"
"20000","20036","4","2019-12-02 17:27:29","2019-12-02 17:27:29","A3211","A3211"
"20000","20036","5","2019-12-02 17:27:29","2019-12-02 17:27:29","A3211","A3211"
"20000","20036","6","2019-12-02 17:27:29","2019-12-02 17:27:29","A3211","A3211"
"20000","20036","7","2019-12-02 17:27:29","2019-12-02 17:27:29","A3211","A3211"
"20000","20037","2","2019-12-02 17:27:16","2019-12-02 17:27:16","A3211","A3211"
"20000","20037","3","2019-12-02 17:27:16","2019-12-02 17:27:16","A3211","A3211"
"20000","20037","4","2019-12-02 17:27:16","2019-12-02 17:27:16","A3211","A3211"
"20000","20037","5","2019-12-02 17:27:16","2019-12-02 17:27:16","A3211","A3211"
"20000","20037","6","2019-12-02 17:27:16","2019-12-02 17:27:16","A3211","A3211"
"20000","20037","7","2019-12-02 17:27:16","2019-12-02 17:27:16","A3211","A3211"
"20000","20038","2","2019-12-02 17:27:00","2019-12-02 17:27:00","A3211","A3211"
"20000","20038","3","2019-12-02 17:27:00","2019-12-02 17:27:00","A3211","A3211"
"20000","20038","4","2019-12-02 17:27:00","2019-12-02 17:27:00","A3211","A3211"
"20000","20038","5","2019-12-02 17:27:00","2019-12-02 17:27:00","A3211","A3211"
"20000","20038","6","2019-12-02 17:27:00","2019-12-02 17:27:00","A3211","A3211"
"20000","20038","7","2019-12-02 17:27:00","2019-12-02 17:27:00","A3211","A3211"
"20003","20038","2","2019-08-20 10:47:00","2019-08-20 10:47:00","A3218","A3218"
"20003","20038","3","2019-08-20 10:48:17","2019-08-20 10:48:17","A3218","A3218"
"20003","20038","4","2019-08-20 10:48:59","2019-08-20 10:48:59","A3218","A3218"
"20003","20038","5","2019-08-20 10:52:10","2019-08-20 10:52:10","A3218","A3218"
"20003","20038","6","2019-08-20 10:54:27","2019-08-20 10:54:27","A3218","A3218"
"20003","20038","7","2019-08-20 10:55:17","2019-08-20 10:55:17","A3218","A3218"
"20003","20038","8","2019-08-20 10:56:24","2019-08-20 10:56:24","A3218","A3218"
"20003","20038","9","2019-08-20 10:56:44","2019-08-20 10:56:44","A3218","A3218"
"20003","20038","10","2019-08-20 10:57:40","2019-08-20 10:57:40","A3218","A3218"
"20003","20040","11","2019-12-24 11:51:46","2019-12-24 11:51:46","B37707","B37707"
"20003","20040","12","2019-12-24 11:51:46","2019-12-24 11:51:46","B37707","B37707"
"20003","20040","13","2019-12-24 11:51:46","2019-12-24 11:51:46","B37707","B37707"
"20003","20040","14","2019-12-24 11:51:46","2019-12-24 11:51:46","B37707","B37707"
"20003","20040","15","2019-12-24 11:51:46","2019-12-24 11:51:46","B37707","B37707"
"20003","20040","16","2019-12-24 11:51:46","2019-12-24 11:51:46","B37707","B37707"
"20003","20040","17","2019-12-24 11:51:46","2019-12-24 11:51:46","B37707","B37707"
"20003","20040","18","2019-12-24 11:51:46","2019-12-24 11:51:46","B37707","B37707"
"20003","20040","19","2019-12-24 11:51:46","2019-12-24 11:51:46","B37707","B37707"
"20003","20040","20","2019-12-24 11:51:46","2019-12-24 11:51:46","B37707","B37707"
"20003","20040","21","2019-12-24 11:51:46","2019-12-24 11:51:46","B37707","B37707"
"20003","20040","22","2019-12-24 11:51:46","2019-12-24 11:51:46","B37707","B37707"
"20003","21907","1","2019-12-24 11:45:02","2019-12-24 11:45:02","B37707","B37707"
"20003","21908","11","2019-12-24 11:45:06","2019-12-24 11:45:06","B37707","B37707"
"20003","21908","12","2019-12-24 11:45:06","2019-12-24 11:45:06","B37707","B37707"
"20003","21908","13","2019-12-24 11:45:06","2019-12-24 11:45:06","B37707","B37707"
"20003","21908","14","2019-12-24 11:45:06","2019-12-24 11:45:06","B37707","B37707"
"20003","21908","15","2019-12-24 11:45:06","2019-12-24 11:45:06","B37707","B37707"
"20003","21908","16","2019-12-24 11:45:06","2019-12-24 11:45:06","B37707","B37707"
"20003","21908","17","2019-12-24 11:45:06","2019-12-24 11:45:06","B37707","B37707"
"20003","21908","18","2019-12-24 11:45:06","2019-12-24 11:45:06","B37707","B37707"
"20003","21908","19","2019-12-24 11:45:06","2019-12-24 11:45:06","B37707","B37707"
"20003","21909","1","2019-12-24 11:45:04","2019-12-24 11:45:04","B37707","B37707"
"20003","21909","2","2019-12-24 11:45:04","2019-12-24 11:45:04","B37707","B37707"
"20003","21909","3","2019-12-24 11:45:04","2019-12-24 11:45:04","B37707","B37707"
"20003","21909","4","2019-12-24 11:45:04","2019-12-24 11:45:04","B37707","B37707"
"20003","21909","5","2019-12-24 11:45:04","2019-12-24 11:45:04","B37707","B37707"
"20003","21909","6","2019-12-24 11:45:04","2019-12-24 11:45:04","B37707","B37707"
"20003","21909","7","2019-12-24 11:45:04","2019-12-24 11:45:04","B37707","B37707"
"20003","21909","8","2019-12-24 11:45:04","2019-12-24 11:45:04","B37707","B37707"
"20003","21909","9","2019-12-24 11:45:04","2019-12-24 11:45:04","B37707","B37707"
"20003","21909","10","2019-12-24 11:45:04","2019-12-24 11:45:04","B37707","B37707"
"20003","21910","11","2019-12-24 11:45:07","2019-12-24 11:45:07","B37707","B37707"
"20003","21910","12","2019-12-24 11:45:07","2019-12-24 11:45:07","B37707","B37707"
"20003","21910","13","2019-12-24 11:45:07","2019-12-24 11:45:07","B37707","B37707"
"20003","21910","14","2019-12-24 11:45:07","2019-12-24 11:45:07","B37707","B37707"
"20003","21910","15","2019-12-24 11:45:07","2019-12-24 11:45:07","B37707","B37707"
"20003","21910","16","2019-12-24 11:45:07","2019-12-24 11:45:07","B37707","B37707"
"20003","21910","17","2019-12-24 11:45:07","2019-12-24 11:45:07","B37707","B37707"
"20003","21910","18","2019-12-24 11:45:07","2019-12-24 11:45:07","B37707","B37707"
"20003","21910","19","2019-12-24 11:45:07","2019-12-24 11:45:07","B37707","B37707"
"20003","21911","11","2019-12-24 11:52:59","2019-12-24 11:52:59","B37707","B37707"
"20003","21911","12","2019-12-24 11:52:59","2019-12-24 11:52:59","B37707","B37707"
"20003","21911","13","2019-12-24 11:52:59","2019-12-24 11:52:59","B37707","B37707"
"20003","21911","14","2019-12-24 11:52:59","2019-12-24 11:52:59","B37707","B37707"
"20003","21911","15","2019-12-24 11:52:59","2019-12-24 11:52:59","B37707","B37707"
"20003","21911","16","2019-12-24 11:52:59","2019-12-24 11:52:59","B37707","B37707"
"20003","21911","17","2019-12-24 11:52:59","2019-12-24 11:52:59","B37707","B37707"
"20003","21911","18","2019-12-24 11:52:59","2019-12-24 11:52:59","B37707","B37707"
"20003","21911","19","2019-12-24 11:52:59","2019-12-24 11:52:59","B37707","B37707"
"20003","21911","21","2019-12-24 11:52:59","2019-12-24 11:52:59","B37707","B37707"
"20003","21911","22","2019-12-24 11:52:59","2019-12-24 11:52:59","B37707","B37707"
"20003","21913","11","2019-12-24 11:51:17","2019-12-24 11:51:17","B37707","B37707"
"20003","21913","12","2019-12-24 11:51:17","2019-12-24 11:51:17","B37707","B37707"
"20003","21913","13","2019-12-24 11:51:17","2019-12-24 11:51:17","B37707","B37707"
"20003","21913","14","2019-12-24 11:51:17","2019-12-24 11:51:17","B37707","B37707"
"20003","21913","15","2019-12-24 11:51:17","2019-12-24 11:51:17","B37707","B37707"
"20003","21913","16","2019-12-24 11:51:17","2019-12-24 11:51:17","B37707","B37707"
"20003","21913","17","2019-12-24 11:51:17","2019-12-24 11:51:17","B37707","B37707"
"20003","21913","18","2019-12-24 11:51:17","2019-12-24 11:51:17","B37707","B37707"
"20003","21913","19","2019-12-24 11:51:17","2019-12-24 11:51:17","B37707","B37707"
"20003","21913","20","2019-12-24 11:51:17","2019-12-24 11:51:17","B37707","B37707"
"20003","21913","21","2019-12-24 11:51:17","2019-12-24 11:51:17","B37707","B37707"
"20003","21913","22","2019-12-24 11:51:17","2019-12-24 11:51:17","B37707","B37707"
"20003","21915","11","2019-12-24 11:52:35","2019-12-24 11:52:35","B37707","B37707"
"20003","21915","12","2019-12-24 11:52:35","2019-12-24 11:52:35","B37707","B37707"
"20003","21915","13","2019-12-24 11:52:35","2019-12-24 11:52:35","B37707","B37707"
"20003","21915","14","2019-12-24 11:52:35","2019-12-24 11:52:35","B37707","B37707"
"20003","21915","15","2019-12-24 11:52:35","2019-12-24 11:52:35","B37707","B37707"
"20003","21915","16","2019-12-24 11:52:35","2019-12-24 11:52:35","B37707","B37707"
"20003","21915","17","2019-12-24 11:52:35","2019-12-24 11:52:35","B37707","B37707"
"20003","21915","18","2019-12-24 11:52:35","2019-12-24 11:52:35","B37707","B37707"
"20003","21915","19","2019-12-24 11:52:35","2019-12-24 11:52:35","B37707","B37707"
"20003","21915","20","2019-12-24 11:52:35","2019-12-24 11:52:35","B37707","B37707"
"20003","21915","21","2019-12-24 11:52:35","2019-12-24 11:52:35","B37707","B37707"
"20003","21915","22","2019-12-24 11:52:35","2019-12-24 11:52:35","B37707","B37707"
"20003","21916","13","2019-12-24 11:53:29","2019-12-24 11:53:29","B37707","B37707"
"20003","21916","14","2019-12-24 11:53:29","2019-12-24 11:53:29","B37707","B37707"
"20003","21916","15","2019-12-24 11:53:29","2019-12-24 11:53:29","B37707","B37707"
"20003","21916","16","2019-12-24 11:53:29","2019-12-24 11:53:29","B37707","B37707"
"20003","21916","17","2019-12-24 11:53:29","2019-12-24 11:53:29","B37707","B37707"
"20003","21916","18","2019-12-24 11:53:29","2019-12-24 11:53:29","B37707","B37707"
"20003","21916","19","2019-12-24 11:53:29","2019-12-24 11:53:29","B37707","B37707"
"20003","21916","21","2019-12-24 11:53:29","2019-12-24 11:53:29","B37707","B37707"
"20003","21916","22","2019-12-24 11:53:29","2019-12-24 11:53:29","B37707","B37707"
"20003","21917","11","2019-12-24 11:54:20","2019-12-24 11:54:20","B37707","B37707"
"20003","21917","12","2019-12-24 11:54:20","2019-12-24 11:54:20","B37707","B37707"
"20003","21917","14","2019-12-24 11:54:20","2019-12-24 11:54:20","B37707","B37707"
"20003","21917","15","2019-12-24 11:54:20","2019-12-24 11:54:20","B37707","B37707"
"20003","21917","16","2019-12-24 11:54:20","2019-12-24 11:54:20","B37707","B37707"
"20003","21917","17","2019-12-24 11:54:20","2019-12-24 11:54:20","B37707","B37707"
"20003","21917","18","2019-12-24 11:54:20","2019-12-24 11:54:20","B37707","B37707"
"20003","21917","19","2019-12-24 11:54:20","2019-12-24 11:54:20","B37707","B37707"
"20003","21917","21","2019-12-24 11:54:20","2019-12-24 11:54:20","B37707","B37707"
"20003","21917","22","2019-12-24 11:54:20","2019-12-24 11:54:20","B37707","B37707"
"20003","21919","11","2019-11-13 17:23:36","2019-11-13 17:23:36","A3211","A3211"
"20003","21919","12","2019-11-13 17:23:36","2019-11-13 17:23:36","A3211","A3211"
"20003","21919","13","2019-11-13 17:23:36","2019-11-13 17:23:36","A3211","A3211"
"20003","21919","14","2019-11-13 17:23:36","2019-11-13 17:23:36","A3211","A3211"
"20003","21919","15","2019-11-13 17:23:36","2019-11-13 17:23:36","A3211","A3211"
"20003","21919","16","2019-11-13 17:23:36","2019-11-13 17:23:36","A3211","A3211"
"20003","21919","17","2019-11-13 17:23:36","2019-11-13 17:23:36","A3211","A3211"
"20003","21919","18","2019-11-13 17:23:36","2019-11-13 17:23:36","A3211","A3211"
"20003","21919","19","2019-11-13 17:23:36","2019-11-13 17:23:36","A3211","A3211"
"20003","21919","22","2019-11-13 17:23:36","2019-11-13 17:23:36","A3211","A3211"
"20003","21920","2","2019-08-20 10:47:00","2019-08-20 10:47:00","A3218","A3218"
"20003","21920","3","2019-08-20 10:48:17","2019-08-20 10:48:17","A3218","A3218"
"20003","21920","4","2019-08-20 10:48:59","2019-08-20 10:48:59","A3218","A3218"
"20003","21920","5","2019-08-20 10:52:10","2019-08-20 10:52:10","A3218","A3218"
"20003","21920","6","2019-08-20 10:54:27","2019-08-20 10:54:27","A3218","A3218"
"20003","21920","7","2019-08-20 10:55:17","2019-08-20 10:55:17","A3218","A3218"
"20003","21920","8","2019-08-20 10:56:24","2019-08-20 10:56:24","A3218","A3218"
"20003","21920","9","2019-08-20 10:56:44","2019-08-20 10:56:44","A3218","A3218"
"20003","21920","10","2019-08-20 10:57:40","2019-08-20 10:57:40","A3218","A3218"
"20003","21921","2","2019-08-20 10:47:00","2019-08-20 10:47:00","A3218","A3218"
"20003","21921","3","2019-08-20 10:48:17","2019-08-20 10:48:17","A3218","A3218"
"20003","21921","4","2019-08-20 10:48:59","2019-08-20 10:48:59","A3218","A3218"
"20003","21921","5","2019-08-20 10:52:10","2019-08-20 10:52:10","A3218","A3218"
"20003","21921","6","2019-08-20 10:54:27","2019-08-20 10:54:27","A3218","A3218"
"20003","21921","7","2019-08-20 10:55:17","2019-08-20 10:55:17","A3218","A3218"
"20003","21921","8","2019-08-20 10:56:24","2019-08-20 10:56:24","A3218","A3218"
"20003","21921","9","2019-08-20 10:56:44","2019-08-20 10:56:44","A3218","A3218"
"20003","21921","10","2019-08-20 10:57:40","2019-08-20 10:57:40","A3218","A3218"
"20003","21922","11","2019-11-19 10:28:36","2019-11-19 10:28:36","B37707","B37707"
"20003","21922","12","2019-11-19 10:28:36","2019-11-19 10:28:36","B37707","B37707"
"20003","21922","13","2019-11-19 10:28:36","2019-11-19 10:28:36","B37707","B37707"
"20003","21922","14","2019-11-19 10:28:36","2019-11-19 10:28:36","B37707","B37707"
"20003","21922","16","2019-11-19 10:28:36","2019-11-19 10:28:36","B37707","B37707"
"20003","21922","17","2019-11-19 10:28:36","2019-11-19 10:28:36","B37707","B37707"
"20003","21922","18","2019-11-19 10:28:36","2019-11-19 10:28:36","B37707","B37707"
"20003","21922","19","2019-11-19 10:28:36","2019-11-19 10:28:36","B37707","B37707"
"20003","21922","20","2019-11-19 10:28:36","2019-11-19 10:28:36","B37707","B37707"
"20003","21922","21","2019-11-19 10:28:36","2019-11-19 10:28:36","B37707","B37707"
"20003","21922","22","2019-11-19 10:28:36","2019-11-19 10:28:36","B37707","B37707"
"20003","21923","11","2019-11-19 10:29:06","2019-11-19 10:29:06","B37707","B37707"
"20003","21923","12","2019-11-19 10:29:06","2019-11-19 10:29:06","B37707","B37707"
"20003","21923","13","2019-11-19 10:29:06","2019-11-19 10:29:06","B37707","B37707"
"20003","21923","14","2019-11-19 10:29:06","2019-11-19 10:29:06","B37707","B37707"
"20003","21923","16","2019-11-19 10:29:06","2019-11-19 10:29:06","B37707","B37707"
"20003","21923","17","2019-11-19 10:29:06","2019-11-19 10:29:06","B37707","B37707"
"20003","21923","18","2019-11-19 10:29:06","2019-11-19 10:29:06","B37707","B37707"
"20003","21923","19","2019-11-19 10:29:06","2019-11-19 10:29:06","B37707","B37707"
"20003","21923","20","2019-11-19 10:29:06","2019-11-19 10:29:06","B37707","B37707"
"20003","21923","21","2019-11-19 10:29:06","2019-11-19 10:29:06","B37707","B37707"
"20003","21923","22","2019-11-19 10:29:06","2019-11-19 10:29:06","B37707","B37707"
"20003","21924","11","2019-12-24 11:55:01","2019-12-24 11:55:01","B37707","B37707"
"20003","21924","12","2019-12-24 11:55:01","2019-12-24 11:55:01","B37707","B37707"
"20003","21924","13","2019-12-24 11:55:01","2019-12-24 11:55:01","B37707","B37707"
"20003","21924","14","2019-12-24 11:55:01","2019-12-24 11:55:01","B37707","B37707"
"20003","21924","15","2019-12-24 11:55:01","2019-12-24 11:55:01","B37707","B37707"
"20003","21924","16","2019-12-24 11:55:01","2019-12-24 11:55:01","B37707","B37707"
"20003","21924","20","2019-12-24 11:55:01","2019-12-24 11:55:01","B37707","B37707"
"20003","21924","21","2019-12-24 11:55:01","2019-12-24 11:55:01","B37707","B37707"
"20003","21924","22","2019-12-24 11:55:01","2019-12-24 11:55:01","B37707","B37707"
"20003","21925","11","2019-12-24 11:55:52","2019-12-24 11:55:52","B37707","B37707"
"20003","21925","12","2019-12-24 11:55:52","2019-12-24 11:55:52","B37707","B37707"
"20003","21925","13","2019-12-24 11:55:52","2019-12-24 11:55:52","B37707","B37707"
"20003","21925","14","2019-12-24 11:55:52","2019-12-24 11:55:52","B37707","B37707"
"20003","21925","15","2019-12-24 11:55:52","2019-12-24 11:55:52","B37707","B37707"
"20003","21925","16","2019-12-24 11:55:52","2019-12-24 11:55:52","B37707","B37707"
"20003","21925","20","2019-12-24 11:55:52","2019-12-24 11:55:52","B37707","B37707"
