"hospital_no","course_no","code","name","web_reception","calender","flg_category","course_sales_copy","course_point","course_notice","course_cancel","flg_price","price","flg_price_memo","price_memo","price_2","price_3","tax_class","display_setting","status","pv","pvad","order","rgst","updt","created_id","updated_id","pre_account_price","flg_local_payment","flg_pre_account","auto_calc_application"
"20000","20010","DC20010","【ドクネット】脳ドック+心臓スクリーニング（腫瘍マーカー付）","1","0","0",,"脳卒中や脳梗塞など脳の疾患と心臓の疾患を一緒に検査し、さらにがん診断もできる充実した内容のコースです。

脳ドックでは、MRI・MRAによる頭部の画像診断、頸動脈エコー、脈波測定検査を行い、心臓ドックでは超音波装置による心臓検査、心電図、心不全マーカー検査を行います。
さらに腫瘍マーカー7項目を行い、胃がんや大腸がんなどの検査をいたします。

脳ドックの画像診断は日本核医学会認定核医学専門医が担当し、検査の精度を高めるため、医師2名で対応をします。
心臓は日本循環器学会認定循環器専門医が心臓模型を使ってわかりやすく説明します。

※脳ドックと心臓ドックは、別日での実施となります。
※アレルギー検査（15,000円+税）をオプションサービス",,"0","1","91800","0",,"91800","91800","0","1","X","0","0","8","2017-08-01 00:00:00","2017-09-04 17:03:02","system",,,"1","0","1"
"20000","20011","DC20011","【法人化記念／3月末まで】脳ドック+腫瘍マーカー","1","2","0",,"＜脳ドック＋腫瘍マーカー検査＞
くも膜下出血、脳出血、脳梗塞などの脳血管疾患は、急に意識を失って倒れることが多く、死亡原因にもなっている疾患です。

◆早期発見、早期治療する為、MRI装置による頭部MRI/MRA画像診断、頸動脈エコーおよび血圧脈波などを行ないます。
◆普段検査する機会の少ない腫瘍マーカー（男性7種類、女性8種類）の検査を行います。
◆診断精度を高めるため、読影は日本核医学会認定核医学専門医が担当、検査結果は複数の医師で相互確認を行います。
◆後日、詳細な報告書をご送付致します。
◆当日面談：料金別途、税込5,400円。ご予約時に承ります。","下記項目に該当する方はMRI検査をご受診いただくことができない場合があります。
ご予約の際に必ずご相談をお願い致します。 
・心臓ペースメーカーなどを身につけている方
・体内に何らかの金属が埋め込まれている方
・入れ墨やアートメイクをされている方
・妊娠中の方、あるいは妊娠の可能性がある方",,"1","43200","0",,"0","0","0","0","X","0","0","15","2017-08-01 00:00:00","2019-06-06 10:45:02","system",,,"1","0","1"
"20000","20012","DC20012","【法人化記念／3月末まで】心臓スクリーニング（面談あり）コース","1","5","0",,"◆心臓スクリーニングでは超音波診断装置による心臓検査、心電図、脈波検査および心不全マーカー検査（NT-proBNP）を行います。

◆予約制を取っており、スムーズな対応を目指しています。
当日、日本循環器学会認定循環器専門医が心臓模型を使って検査結果をご説明致します。
また、後日詳細なレポートをご送付します。

◆食事について：なし
◆検査結果について：受診後、2～3週間後にご送付致します。",,,"1","29160","0",,"0","0","0","0","X","0","0","16","2017-08-01 00:00:00","2019-06-06 10:44:43","system",,,"1","0","1"
"20000","20013","C20013H20000","健保コース","1","6","1",,"◆各種健康保険組合様との契約に基づき、指定検査項目/コース別の健診コースです。
◆当院と直接契約がある共済組合または健康保険組合所属の方で補助を受けられる方は、こちらからの予約をお願いいたします。","当日、お支払いになる金額は各所属の健康保険組合/事業所により異なります。
ご確認の上、ご予約をお願いいたします。",,"0","10","1","医療機関に問合せ下さい","0","0","0","0","X","0","0","11","2017-09-07 20:02:12","2018-08-15 09:26:29","A2062",,,"1","0","1"
"20000","20014","C20014H20000","【法人化記念／3月末まで】西台PET-CTコース（腫瘍マーカー付）","1","3","0",,"◆PET-CT検査が初めての方に最適ですが、初期がんを発見するために毎年受診されている方もいらっしゃいます。(法定検診のがんの部分を補てんする目的)

◆PET-CT検査で、がんの有無及び進行具合を詳しく調べます。

◆腫瘍マーカー（男性7種類、女性8種類）を含む血液・生化学検査も行いますので、がんの検診精度が向上します。

◆読影は日本核医学会認定核医学専門医が担当しております。
検査結果は複数の医師で相互確認を行い、後日、詳細な検査結果報告書をご送付致します。

◆検査結果について：受診後、2～3週間後にご送付致します。
※別途料金（税込3,240円）で検査結果に画像CDを添える事も可能です。",,,"1","97200","0",,"0","0","0","0","X","0","0","11","2017-09-08 18:38:25","2019-06-06 10:46:13","A2062",,,"1","0","1"
"20000","20015","C20015H20000","【法人化記念　秋の9～11月直近受診】西台PET/CT+脳ドック（腫瘍マーカー付）","1","0","0",,"◆9月～11月の期間中、4週間以内にご受診の方を対象としたコースになります。

◆西台クリニックの法人化を記念し、人気の西台PET-CTとシンプル脳ドックを組み合わせたコースです。

◆PET-CT検査で、がんの有無及び進行具合を詳しく調べ、頭部MRI・MRA検査、頸動脈エコーなどの検査で、動脈硬化（脳梗塞などの原因）の進行度などを調べます。
腫瘍マーカー（男性7種類、女性8種類）を含む血液・生化学検査も行います。

◆読影は日本核医学会認定核医学専門医が担当しております。
検査結果は複数の医師で相互確認を行い、後日、詳細な検査結果報告書をご送付します。

◆検査結果について：受診後、2～3週間後にご送付致します。
◆結果説明を、オプション（10,800円）で追加出来ます。","下記項目に該当する方はMRI検査をご受診いただくことができない場合があります。
ご予約の際に必ずご相談をお願い致します。 
・心臓ペースメーカーなどを身につけている方
・体内に何らかの金属が埋め込まれている方
・入れ墨やアートメイクをされている方
・妊娠中の方、あるいは妊娠の可能性がある方",,"1","108000","0",,"0","0","0","0","X","0","0","9","2017-09-19 18:38:24","2018-03-02 15:35:00","A2062",,,"1","0","1"
"20000","20016","C20016H20000","【法人化記念　秋の9～11月直近受診】西台PET/CTコース（腫瘍マーカー付）","1","0","0",,"◆9月～11月の期間中、4週間以内にご受診の方を対象としたコースになります。

◆PET/CT検査が初めての方に最適ですが、初期がんを発見するために毎年受診されている方もいらっしゃいます。(法定検診のがんの部分を補てんする目的)

◆PET-CT検査で、がんの有無及び進行具合を詳しく調べます。

◆腫瘍マーカー（男性7種類、女性8種類）を含む血液・生化学検査も行いますので、がんの検診精度が向上します。

◆読影は日本核医学会認定核医学専門医が担当しております。
検査結果は複数の医師で相互確認を行い、後日、詳細な検査結果報告書をご送付致します。

◆検査結果について：受診後、2～3週間後にご送付致します。
※別途料金（税込3,240円）で検査結果に画像CDを添える事も可能です。",,,"1","86400","0",,"0","0","0","0","X","0","0","10","2017-09-19 18:51:50","2018-03-02 15:35:15","A2062",,,"1","0","1"
"20000","20017","C20017H20000","9月【西台グランドコース】頭部から全身のがん検診（がん総合＋脳ドック）","1","11","0","グランドコースは、脳ドックも、全身も一日でがん検診ができます。
この4月よりPET/CTを増設し2台体制による検査を始めることになりました。
今までより検査のご希望日時での予約が取りやすくなります！","◆「がん・脳疾患」をしっかり検査する西台グランドコースです。

◆PET/CT、MRI、エコー、腫瘍マーカー（男性7、女性8種類）を含む血液検査などのがん総合コースに脳MRI/MRA、頸動脈エコー検査の脳ドックを統合したプランです。

◆超音波診断装置を用いて、女性には乳腺エコー検査、男性には前立腺エコー検査を実施します。

◆密度の高い検査を集中的に行い、約5時間半で終了しますので、遠方から来られる方や時間を大切にする方におすすめです。

◆当日、医師によるPET/CT・MRI・超音波などの画像診断結果を基にした結果面談を行います。
身体に関する日常の疑問点などもご相談下さい。

◆食事について：あり

◆検査結果について：受診後、2～3週間後にご送付致します。","◆検査コース注意事項
下記項目に該当する方はPET/CT検査及びMRI検査をご受診いただくことができない場合がありますので、ご予約の際に必ずご相談をお願します。
・心臓ペースメーカーなどを身に付けている方
・体内に何らかの金属が埋め込まれている方
・入墨やアートメイクをされている方
・妊娠中の方、あるいは妊娠の可能性のある方
・糖尿病の治療中の方",,"1","248400","0",,"0","0","0","0","X","0","0","11","2018-03-02 14:56:34","2019-10-07 16:41:18","A2636",,"248400","1","0","1"
"20000","20018","C20018H20000","9月【男性西台がん総合コース】全身がんチェック（PET/CT+MRI+エコー+甲状腺+前立腺）","1","8","0","この4月よりPET/CTを増設し2台体制による検査を始めることになりました。
今までより、検査のご希望日時での予約がお取りやすくなります！","◆がんの有無をしっかり調べたい方、PET検査に興味がある方にオススメです。

◆PET/CT、MRI、超音波エコー、腫瘍マーカー及び血液・尿検査・便潜血検査を効果的に組み合わせ、がんを早期発見を目指すコースです。
PET機能でがんの有無や位置を確認し、CT機能およびMRIにて体幹の病巣・疾患を調べ、エコー検査にて内臓、甲状腺などを診断します。合わせて、前立腺がん検査を行います。

◆検査結果について：受診後、2～3週間後にご送付致します。
◆結果説明を、オプション（10,800円）で追加出来ます。","下記項目に該当する方はPET/CT検査及びMRI検査をご受診いただくことができない場合があります。
ご予約の際に必ずご相談をお願い致します。 
・心臓ペースメーカーなどを身につけている方
・体内に何らかの金属が埋め込まれている方
・入れ墨やアートメイクをされている方
・妊娠中の方、あるいは妊娠の可能性がある方
・糖尿病の治療中の方",,"1","167400","0",,"0","0","0","0","X","0","0","12","2018-03-02 15:05:18","2019-10-07 16:41:02","A2636",,"167400","1","0","1"
"20000","20019","C20019H20000","9月【女性西台がん総合コース】全身がんチェック（PET/CT+MRI+エコー+乳腺+子宮+甲状腺）","1","8","0","この4月よりPET/CTを増設し2台体制による検査を始めることになりました。
今までより、検査のご希望日時での予約がお取りやすくなります！","◆がんの有無をしっかり調べたい方、PET検査に興味がある方にオススメです。

◆PET/CT、MRI、超音波エコー、腫瘍マーカー（8種類）及び血液・尿検査、便潜血検査を効果的に組み合わせ、がんの早期発見を目指すコースです。
PET機能でがんの有無や位置を確認し、CT機能およびMRIにて体幹の病巣・疾患を調べ、エコー検査にて内臓、甲状腺などを診断します。
合わせて、エコーにて、乳房・子宮なども検査します。

◆検査結果について：受診後、2～3週間後にご送付致します。
◆結果説明を、オプション（10,800円）で追加出来ます。","下記項目に該当する方はPET/CT検査及びMRI検査をご受診いただくことができない場合があります。
ご予約の際に必ずご相談をお願い致します。 
・心臓ペースメーカーなどを身につけている方
・体内に何らかの金属が埋め込まれている方
・入れ墨やアートメイクをされている方
・妊娠中の方、あるいは妊娠の可能性がある方
・糖尿病の治療中の方",,"1","167400","0",,"0","0","0","0","X","0","0","13","2018-03-02 15:16:48","2019-10-07 16:40:46","A2636",,"167400","1","0","1"
"20000","20020","C20020H20000","9月西台脳ドック+PET/CTコース（腫瘍マーカー付）","1","8","0","この4月よりPET/CTを増設し2台体制による検査を始めることになりました。
今までより、検査のご希望日時での予約がお取りやすくなります！","◆西台PET/CTとシンプル脳ドックを組み合わせたコースです。
◆脳がん・脳卒中の早期発見を目指します。

◆PET/CT検査で、がんの有無及び進行具合を詳しく調べ、頭部MRI・MRA検査、頸動脈エコーなどの検査で、動脈硬化（脳梗塞などの原因）の進行度などを調べます。
腫瘍マーカー（男性7種類、女性8種類）を含む血液・生化学検査も行います。

◆読影は日本核医学会認定核医学専門医が担当しております。
検査結果は複数の医師で相互確認を行い、後日、詳細な検査結果報告書をご送付します。

◆検査結果について：受診後、2～3週間後にご送付致します。
◆結果説明を、オプション（10,800円）で追加出来ます。","下記項目に該当する方はPET/CT検査及びMRI検査をご受診いただくことができない場合があります。
ご予約の際に必ずご相談をお願い致します。 
・心臓ペースメーカーなどを身につけている方
・体内に何らかの金属が埋め込まれている方
・入れ墨やアートメイクをされている方
・妊娠中の方、あるいは妊娠の可能性がある方
・糖尿病の治療中の方",,"1","129600","0",,"0","0","0","0","X","0","0","10","2018-03-02 15:27:17","2019-10-07 16:41:34","A2636",,"129600","1","0","1"
"20000","20021","C20021H20000","9月西台PET/CTコース（腫瘍マーカー付）","1","8","0","この4月よりPET/CTを増設し2台体制による検査を始めることになりました。
今までより、検査のご希望日時での予約がお取りやすくなります！","◆PET/CT検査が初めての方に最適ですが、初期がんを発見するために毎年受診されている方もいらっしゃいます。(法定検診のがんの部分を補てんする目的)

◆PET/CT検査で、がんの有無及び進行具合を詳しく調べます。

◆腫瘍マーカー（男性7種類、女性8種類）を含む血液・生化学検査も行いますので、がんの検診精度が向上します。

◆読影は日本核医学会認定核医学専門医が担当しております。
検査結果は複数の医師で相互確認を行い、後日、詳細な検査結果報告書をご送付致します。

◆検査結果について：受診後、2～3週間後にご送付致します。
※別途料金（税込3,240円）で検査結果に画像CDを添える事も可能です。","下記項目に該当する方はPET/CT検査をご受診いただくことができない場合があります。
ご予約の際に必ずご相談をお願い致します。 
・心臓ペースメーカーなどを身につけている方
・体内に何らかの金属が埋め込まれている方
・入れ墨やアートメイクをされている方
・妊娠中の方、あるいは妊娠の可能性がある方
・糖尿病の治療中の方",,"1","102600","0",,"0","0","0","0","X","0","0","9","2018-03-02 15:30:08","2019-10-07 16:41:53","A2636",,"102600","1","0","1"
"20000","20022","C20022H20000","9月心臓スクリーニングコース（面談あり）","1","10","0",,"◆心臓スクリーニングでは超音波診断装置による心臓検査、心電図、脈波検査および心不全マーカー検査（NT-proBNP）を行います。

◆予約制を取っており、スムーズな対応を目指しています。
当日、日本循環器学会認定循環器専門医が心臓模型を使って検査結果をご説明致します。
また、後日詳細なレポートをご送付します。

◆食事について：なし
◆検査結果について：受診後、2～3週間後にご送付致します。

※こちらのコースは通訳を必要とする方はご受診頂けません。",,,"1","29160","0",,"0","0","0","0","X","0","0","15","2018-03-02 15:33:02","2019-10-07 16:40:13","A2636",,"29160","1","0","1"
"20000","20023","C20023H20000","9月脳ドック（腫瘍マーカー付）","1","9","0",,"＜脳ドック＋腫瘍マーカー検査＞
くも膜下出血、脳出血、脳梗塞などの脳血管疾患は、急に意識を失って倒れることが多く、死亡原因にもなっている疾患です。

◆早期発見、早期治療する為、MRI装置による頭部MRI/MRA画像診断、頸動脈エコーおよび血圧脈波などを行ないます。
◆普段検査する機会の少ない腫瘍マーカー（男性7種類、女性8種類）の検査を行います。
◆診断精度を高めるため、読影は日本核医学会認定核医学専門医が担当、検査結果は複数の医師で相互確認を行います。
◆後日、詳細な報告書をご送付致します。
◆当日面談：料金別途、税込5,400円。ご予約時に承ります。","下記項目に該当する方はMRI検査をご受診いただくことができない場合があります。
ご予約の際に必ずご相談をお願い致します。 
・心臓ペースメーカーなどを身につけている方
・体内に何らかの金属が埋め込まれている方
・入れ墨やアートメイクをされている方
・妊娠中の方、あるいは妊娠の可能性がある方",,"1","43200","0",,"0","0","0","0","X","0","0","16","2018-03-02 15:34:08","2019-10-07 16:39:55","A2636",,"43200","1","0","1"
"20000","20024","C20024H20000","女性がん検診（乳腺／甲状腺エコー+PET-CTコース）","1","12","0",,"◆女性特有のがんの有無をしっかり調べたい方、PET-CT検査に興味がある方にオススメです。

◆PET-CT、超音波エコー、腫瘍マーカー（8種類）及び血液・尿検査、便潜血検査を効果的に組み合わせ、がんの早期発見を目指すコースです。
◆乳腺エコーは女性技師が対応致します。

◆検査結果について：受診後、2～3週間後にご送付致します。","下記項目に該当する方はMRI検査をご受診いただくことができない場合があります。
ご予約の際に必ずご相談をお願い致します。 
・心臓ペースメーカーなどを身につけている方
・体内に何らかの金属が埋め込まれている方
・入れ墨やアートメイクをされている方
・妊娠中の方、あるいは妊娠の可能性がある方",,"1","118800","0",,"0","0","0","0","X","0","0","9","2018-03-02 15:51:08","2019-06-06 10:42:42","A2636",,,"1","0","1"
"20000","20025","C20025H20000","夏期間・ペア西台PET/CTコース（腫瘍マーカー付）","1","15","0","ご家族・ご友人と一緒に！是非この機会にご受診を！
PET/CTを増設しました。ご希望の日程でのご予約がお取りやすくなりました！","◆夏の期間（7月1日～9月30日まで）ペア価格のコースを追加しました。

◆ご家族、職場の皆様もご一緒にこの期間にご受診を。

◆PET/CT検査が初めての方におすすめですが、初期がんを発見するために毎年受診されている方もいらっしゃいます。(法定検診のがんの部分を補てんする目的)

◆PET/CT検査で、がんの有無及び進行具合を詳しく調べます。

◆腫瘍マーカー（男性7種類、女性8種類）を含む血液・生化学検査も行いますので、がんの検診精度が向上します。

◆読影は日本核医学会認定核医学専門医が担当しております。
検査結果は複数の医師で相互確認を行い、後日、詳細な検査結果報告書をご送付致します。

◆検査結果について：受診後、2～3週間後にご送付致します。
※別途料金（税込3,240円）で検査結果に画像CDを添える事も可能です。","◆検査コース注意事項
下記項目に該当する方はPET/CT検査をご受診いただくことができない場合がありますので、ご予約の際に必ずご相談をお願します。
・心臓ペースメーカーなどを身に付けている方
・体内に何らかの金属が埋め込まれている方
・入墨やアートメイクをされている方
・妊娠中の方、あるいは妊娠の可能性のある方
・糖尿病の治療中の方",,"1","183600","0",,"0","0","0","0","X","0","0","18","2018-03-09 16:00:30","2019-06-06 10:44:07","B82925",,"183600","1","0","1"
"20000","20026","C20026H20000","9月【西台レディースコース】PET/CT+US　乳腺/甲状腺エコー","1","8","0","この4月よりPET/CTを増設し2台体制による検査を始めることになりました。
今までより、検査のご希望日時での予約がお取りやすくなります！","◆女性特有のがんの有無をしっかり調べたい方、PET検査に興味がある方にオススメです。

◆PET/CT、超音波エコー、腫瘍マーカー（8種類）及び血液・尿検査、便潜血検査を効果的に組み合わせ、がんの早期発見を目指すコースです。
PET機能でがんの有無や位置を確認し、CT機能および、エコー検査にて内臓、甲状腺などを診断します。
合わせて、エコーにて、乳房・子宮なども検査します。

◆検査結果について：受診後、2～3週間後にご送付致します。","下記項目に該当する方はPET/CT検査をご受診いただくことができない場合があります。
ご予約の際に必ずご相談をお願い致します。 
・心臓ペースメーカーなどを身につけている方
・体内に何らかの金属が埋め込まれている方
・入れ墨やアートメイクをされている方
・妊娠中の方、あるいは妊娠の可能性がある方
・糖尿病の治療中の方",,"1","167400","0",,"0","0","0","0","X","0","0","14","2018-03-09 17:52:39","2019-10-07 16:40:30","B82925",,"167400","1","0","1"
"20000","20027","C20027H20000","海外の方向け・【女性西台がん総合コース】全身がんチェック（PET/CT+MRI+エコー+乳腺+子宮+甲状腺）面談あり","1","8","0",,,,,"1","213840","0",,"0","0","0","0","X","0","0","17","2018-04-05 09:25:53","2019-06-06 10:44:25","A2062",,"213840","1","0","1"
"20000","20028","C20028H20000","【GW（5月1～5日）限定】西台PET/CTコース（腫瘍マーカー付）","1","13","0","この4月よりPET/CTを増設し2台体制による検査を始めることになりました。
今までより、検査のご希望日時での予約がお取りやすくなります！","※GW（5月1日～5日）にご受診される方を対象としたコースです※

◆PET/CT検査が初めての方に最適ですが、初期がんを発見するために毎年受診されている方もいらっしゃいます。(法定検診のがんの部分を補てんする目的)

◆PET/CT検査で、がんの有無及び進行具合を詳しく調べます。

◆腫瘍マーカー（男性7種類、女性8種類）を含む血液・生化学検査も行いますので、がんの検診精度が向上します。

◆読影は日本核医学会認定核医学専門医が担当しております。
検査結果は複数の医師で相互確認を行い、後日、詳細な検査結果報告書をご送付致します。

◆検査結果について：受診後、2～3週間後にご送付致します。
※別途料金（税込3,240円）で検査結果に画像CDを添える事も可能です。","下記項目に該当する方はPET/CT検査をご受診いただくことができない場合があります。
ご予約の際に必ずご相談をお願い致します。 
・心臓ペースメーカーなどを身につけている方
・体内に何らかの金属が埋め込まれている方
・入れ墨やアートメイクをされている方
・妊娠中の方、あるいは妊娠の可能性がある方
・糖尿病の治療中の方",,"1","81000","0",,"0","0","0","0","X","0","0","21","2018-04-18 12:23:31","2018-08-15 09:25:19","A2636",,,"1","0","1"
