"no","id","code","k_id","name","kana","zip","pref","district_no","address1","address2","x","y","direction","streetview_url","tel","paycall","fax","mail","info_mail","info_cc","info_bcc","url","flg_photo","flg_equipment","equipment_note","parking_note","flg_language","language_note","flg_credit_company","credit_note","dt_consultation","consultation_note","memo","business_hours","rail1","station1","access1","rail2","station2","access2","rail3","station3","access3","rail4","station4","access4","rail5","station5","access5","description","memo1","memo2","memo3","principal","principal_history","pv","pvad","pickup","login_id","login_psw","login_status","status","evaluation_flg","free_area","search_word","plan_cd","hplink_contract_kbn","hplink_count","hplink_price","rgst","updt","created_id","updated_id","flg_pre_account","pre_account_discount_rate","pre_account_commission_rate"
"20136","m6161545","D20136","K10140620","東京東病院","とうきょうひがしびょういん","133-0073","13","131237","鹿骨3-20-3",,,,,"https://maps.google.co.jp/maps?f=q&source=embed&hl=ja&geocode=&q=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%88%B8%E5%B7%9D%E5%8C%BA%E9%B9%BF%E9%AA%A8%EF%BC%93%E4%B8%81%E7%9B%AE%EF%BC%92%EF%BC%90%EF%BC%8D%EF%BC%93&aq=&sll=35.664893,139.743763&sspn=0.003683,0.004823&brcurrent=3,0x6018865e48a11b41:0xa79028a2656c49ea,0&ie=UTF8&hq=&hnear=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%88%B8%E5%B7%9D%E5%8C%BA%E9%B9%BF%E9%AA%A8%EF%BC%93%E4%B8%81%E7%9B%AE%EF%BC%92%EF%BC%90%E2%88%92%EF%BC%93&ll=35.716634,139.89176&spn=0.001831,0.002411&t=m&z=14&layer=c&cbll=35.716458,139.892047&panoid=hgtMdREkfbTCMo5UbrunCQ&cbp=12,267.95,,0,-9.91&output=svembed","03-5636-3030",,,,,,,,,,,,,,,,,,,"月～金曜　9：00～12：00/14：30～17：30　　土曜　9：00～12：00","202","442","バス10分",,,,,,,,,,,,,,,,,"菊池 仁","【略歴】
東京医科大学 卒業","59","4800","0",,,"0","1","0","<style>
#localNav ul li:nth-child(6) { display:none; }
#localNav { height:220px; }
#localNav ul { height:220x; }
</style>
<script type=""application/ld+json"">
{
    ""@context"": ""http://schema.org"",
    ""@type"": ""VideoObject"",
    ""@id"": ""https://www.youtube.com/watch?v=FoO5LtL_qhc"",
    ""url"": ""https://www.youtube.com/watch?v=FoO5LtL_qhc"",
    ""embedUrl"": ""https://www.youtube.com/watch?v=FoO5LtL_qhc"",
    ""name"": ""【施設1分動画】東京東病院_人間ドック・検診の予約_EPARK人間ドック"",
    ""description"": ""1分で分かる！東京東病院の施設紹介動画です。 東京東病院の人間ドック・検診予約はこちら https://www.docknet.jp/detail_hospital/D20136/basic.html 施設の設..."",
    ""thumbnailURL"": ""https://i.ytimg.com/vi/FoO5LtL_qhc/mqdefault.jpg"",
    ""UploadDate"": ""2018-01-25T15:26:15.000Z"",
    ""author"": {
        ""@type"": ""organization"",
        ""name"": ""EPARK人間ドック""
    }
}
</script>",,"03","0",,,"2017-07-31 00:00:00","2019-07-30 10:38:22","system","epkdoc01","0","0",
"21271","m6198217","D21271","K10296066","正田病院　健康管理センター","しょうだびょういんけんこうかんりせんたー","379-0116","10","102113","安中1-16-32",,"138.8864090","36.3217230",,"https://www.google.com/maps/embed?pb=!4v1562747725896!6m8!1m7!1s7I7TTumqh6lF5eAjVzsE6A!2m2!1d36.3215123846766!2d138.8860223160351!3f41.493247423469754!4f-2.864694795933019!5f0.7820865974627469","027-395-5566",,,,,,,,,,,,,,,,,,,,"144","2946","タクシーで10分",,,,,,,,,,,,,,,,,"院長: 正田 弘一",,"97","2300","0",,,"0","1","0",,,"24","0",,,"2019-04-08 14:47:04","2019-08-19 10:05:38","epkdoc01","epkdoc01","0","0","0.00"
"21288","m6198958","D21288","K10296628","松岡クリニック","まつおかくりにっく","226-0019","14","141135","中山1-5-8","レオナードビル中山２F","0.0000000","0.0000000",,"https://www.google.com/maps/embed?pb=!4v1556239989342!6m8!1m7!1sIBQTzZNcXBkqjzM3bzKufw!2m2!1d35.51492218155397!2d139.5414490012992!3f268.96337097267366!4f11.306527531603734!5f0.7820865974627469","045-931-8381",,,,,,,,,,,,,,,,,"第1、第3、第5木曜日","※第2・第4 木曜日は診療します。9:30~12:45 / 15:00~16:45<br>
※10月～5月の土曜日は9:30～11:45、6月～9月の土曜日は9:00～11:15です。ご注意下さい。",,"357","744","徒歩2分",,,,,,,,,,,,,,,,," 松岡 隆則","【略歴】
1981年　東海大学医学部卒
1981年　東海大学医学部附属病院 研修医
1986年　東海大学医学部附属病院 脳神経外科 助手
1989年　松岡クリニック開業
【資格】
日本脳神経外科学会認定 脳神経外科専門医
日本救急医学会認定 救急科専門医","0","0","0",,,"0","0","0",,,"24","0",,,"2019-04-24 18:05:29","2019-07-01 12:15:37","epkdoc01","epkdoc01","0","0","0.00"
"21269","m6259485","D21269","K10296064","総合健診センターヘルチェック　日本橋センター","そうごうけんしんせんたーへるちぇっくにほんばしせんたー","103-0027","13","131024","日本橋1-3-13","東京建物日本橋ビル7F","0.0000000","0.0000000",,"https://www.google.com/maps/embed?pb=!4v1557279952463!6m8!1m7!1sXnhr_VU4NjzddzRi5eT4hQ!2m2!1d35.68262445646904!2d139.7736757367213!3f332.98117085826374!4f18.007854008891755!5f0.7820865974627469","03-3345-7766",,,,,,,,,,,,,,,,,"年末年始",,,"218","559","直結","302","559","直結","313","559","直結","980","1","日本橋口から、徒歩5分",,,,,,,,"鈴木 理恵","【略歴】
1996年　金沢医科大学医学部 卒業
2019年　総合健診センターヘルチェック 日本橋センター 院長就任","320","2300","0",,,"0","1","0",,,"23","0",,,"2019-04-08 14:44:17","2019-07-26 11:34:41","epkdoc01","epkdoc01","0","0","0.00"
"20104","m6263518","D20104","K10139650","医療生協かながわ生活協同組合　戸塚病院","いりょうせいきょうかながわせいかつきょうどうくみあいとつかびょういん","245-0062","14","141101","汲沢町1025-6",,"139.5156510","35.3901630",,"https://maps.google.co.jp/maps?f=q&source=embed&hl=ja&geocode=&q=%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E6%88%B8%E5%A1%9A%E5%8C%BA%E6%B1%B2%E6%B2%A2%E7%94%BA1025-6&aq=&sll=35.708795,139.382692&sspn=0.001736,0.002411&brcurrent=3,0x6018506f42e70741:0xf546bb6289390c86,0&ie=UTF8&hq=&hnear=%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E6%88%B8%E5%A1%9A%E5%8C%BA%E6%B1%B2%E6%B2%A2%E7%94%BA%EF%BC%91%EF%BC%90%EF%BC%92%EF%BC%95%E2%88%92%EF%BC%96&ll=35.390172,139.515642&spn=0.00314,0.009645&t=m&z=14&layer=c&cbll=35.390805,139.516099&panoid=vs1Du85uSQZfp3wnIb6wyg&cbp=12,195.46,,0,-1.72&output=svembed","045-864-1241",,,,,,,,,,,,,,,,,"土曜午後／年末年始","●健康診断は、基本的に予約制です（電話予約も可）<br>
●火曜午後時間変則で14:45～です","月～土/9：00～12：00　月～金/13：30～16：00","261","233","西口出口　バス10分","356","233","西口出口　バス10分",,,,,,,,,,,,,,"院長：端山 雅之",,"0","0","0",,,"0","0","0","<style>
#localNav ul li:nth-child(5) {
    display: none;
}
#localNav ul li:nth-child(6) {
    display: none;
}
#localNav {
    height: 184px;
}
#localNav ul {
    height: 184px;
}
</style>

",,"24","0",,,"2017-07-31 00:00:00","2019-08-02 10:05:13","system","epkdoc01","0","0",
"21315","m6270085","D21315","K10296878","かなまち慈優クリニック","かなまちじゆうくりにっく","125-0041","13","131229","東金町1-41-3"," No.5ウバノビル2F","0.0000000","0.0000000",,"https://www.google.com/maps/embed?pb=!4v1557880016281!6m8!1m7!1sjJEFMlz9iB-1QaB0NAjjWQ!2m2!1d35.77067045499734!2d139.8715688352793!3f165.63387922389728!4f0!5f0.7820865974627469","03-3609-0133",,,,,,,,,,,,,,,,,"年末年始",,,"117","144","徒歩4分",,,,,,,,,,,,,,,,,"院長：高山 哲朗","【略歴】
2002年　慶応義塾大学 卒業
【資格】
日本消化器病学会認定 消化器病専門医
日本消化器内視鏡学会認定 消化器内視鏡専門医","89","4800","0",,,"0","1","0","<div id=""movieArea""><iframe src=""https://play.bespotful.com/13482"" frameborder=""0"" scrolling=""no"" allowfullscreen width=""560"" height=""315""></iframe></div>

<div id=""movieArea""><iframe src=""https://grooon.com/tour/E5tghvHuWWI5N6oV"" width=""960"" height=""600"" style=""border: none"" allowfullscreen></iframe></div>",,"24","0",,,"2019-05-13 17:31:47","2019-10-17 10:15:02","epkdoc01","epkdoc01","0","0","0.00"
"21145","m6276273","D21145","K10292246","神戸中央病院　附属健康管理センター","こうべちゅうおうびょういんふぞくけんこうかんりせんたー","650-0044","28","281107","東川崎町1-5-7","神戸情報文化ビル　カルメニ17階","0.0000000","0.0000000",,"https://www.google.com/maps/embed?pb=!4v1560476386019!6m8!1m7!1ssMspVmXDOSUOaiN6UgxkgQ!2m2!1d34.67881141085802!2d135.1819447152023!3f167.63188560711382!4f7.3614322976499125!5f0.7820865974627469",,,,,,,,,,,,,,,,,,,,,"579","6043","海側徒歩5分","656","6696","海側徒歩4分","649","6633","徒歩8分",,,,,,,,,,,"センター長：小黒 厚",,"0","0","0",,,"0","0","0","<div id=""movieArea""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/vHrnXz_QKaI"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe></div>

<div id=""movieArea""><iframe src=""https://grooon.com/tour/IbHTg4edRsPYMGpV"" width=""960"" height=""600"" style=""border: none"" allowfullscreen></iframe></div>",,"26","0",,,"2018-12-19 13:00:21","2019-10-15 10:01:08","epkdoc01","epkdoc01","0","0","0.00"
"20392","m6293396","D20392","K10162565","アルファメディック・クリニック","あるふぁめでぃっくくりにっく","212-0013","14","141321","堀川町580-16","川崎テックセンター8階","139.7004530","35.5360545",,,"044-511-6115",,,,,,,,,,,,,,,,,"年末年始",,"8:30〜17:00","300","997","西口から、徒歩6分","262","277","西口から、徒歩8分","172","277","西口から、徒歩8分","263","277","西口から、徒歩8分",,,,,,,,"院長：林 建男","【略歴】
1992年　京都府立医科大学医学部 卒業
2016年　アルファメディック・クリニック 院長","485","500","0",,,"0","1","0","<style>
#localNav ul li:nth-child(6) { display:none; }
#localNav { height:220px; }
#localNav ul { height:220x; }
</style>
<script type=""application/ld+json"">
{
        ""@context"": ""http://schema.org"",
        ""@type"": ""VideoObject"",
        ""@id"": ""https://play.bespotful.com/8147"",
        ""url"": ""https://play.bespotful.com/8147"",
        ""embedUrl"": ""https://play.bespotful.com/8147"",
        ""name"": ""【施設1分動画】アルファメディック・クリニック_人間ドック・検診の予約_EPARK人間ドック"",


        ""description"": ""人間ドック・検診業界初！動画を観て検診予約ができます。

アルファメディック・クリニックの健診施設1分動画を観て、EPARK人間ドックサイトを通して人間ドック・検診予約ができます。

【施設情報】
医院名：アルファメディック・クリニック
住所：神奈川県川崎市
最寄り駅：京急本線京急川崎駅

【アルファメディック・クリニックの検査項目】
主な検診コース:人間ドック、メンズドック、レディースドック"",


        ""thumbnailURL"": ""https://assets.bespotful.com/spotful-images/1627/_1526532874_1627-thumbnail.png"",
        ""UploadDate"": ""2018-05-16"",
        ""author"": {
                ""@type"": ""organization"",
                ""name"": ""EPARK人間ドック""
        }
}
</script>",,"16","0",,,"2017-07-31 00:00:00","2019-11-08 15:45:35","system","epkdoc01","0","0",
"21347","m6301831","D21347","K10297594","旗の台健診センター","はたのだいけんしんせんたー","142-0064","13","131091","旗の台6-16-11",,"0.0000000","0.0000000",,"https://www.google.com/maps/embed?pb=!4v1559612152842!6m8!1m7!1sUQZ2W8w9LlIrcBhDEXnEcg!2m2!1d35.60712879936656!2d139.6975736176246!3f245.47088823437855!4f0!5f0.7820865974627469","03-3783-9411",,,,,,,,,,,,,,,,,,,,"297","952","南口から徒歩6分","294","920","徒歩6分",,,,,,,,,,,,,,"川口 毅","【略歴】
1967年3月　昭和大学医学部 卒業","93","1200","0",,,"0","1","0",,,"23","0",,,"2019-05-31 18:27:30","2019-11-01 14:57:48","epkdoc01","epkdoc01","0","0","0.00"
"20197","m6305087","D20197","K10142112","こはや脳神経外科クリニック","こはやのうしんけいげかくりにっく","655-0026","28","281085","陸ノ町2-3",,,,,"https://www.google.com/maps/embed?pb=!1m0!4v1504508111176!6m8!1m7!1sCAoSLEFGMVFpcE53UEFoMThTUDdvaHN5ejVoU1hOX3p4aFk3QWQxZGpPc0JNek02!2m2!1d34.6307187595504!2d135.0539892386211!3f334.4246647501471!4f22.878216745483385!5f0.7820865974627469www.google.com/maps/embed?pb=!1m0!4v1504508111176!6m8!1m7!1sCAoSLEFGMVFpcE53UEFoMThTUDdvaHN5ejVoU1hOX3p4aFk3QWQxZGpPc0JNek02!2m2!1d34.6307187595504!2d135.0539892386211!3f334.4246647501471!4f22.878216745483385!5f0.7820865974627469","078-704-3121",,,,,,,,,,,,,,,,,"開院記念日：6/1／年末年始",,"月・火・木・金／9：00～12：00　16：00～19：00　水・土／9：00～12：00","579","6050","西出口より徒歩3分","661","6724","西出口より徒歩3分",,,,,,,,,,,,,,"小早 徳正","【略歴】
鳥取大学医学部 卒業
【資格】
日本脳神経外科学会認定 脳神経外科専門医","105","5800","0",,,"0","1","0","<div id=""movieArea""><iframe src='https://play.bespotful.com/8944' frameborder='0' scrolling='no' allowfullscreen width='560' height='315'></iframe></div>

<script type=""application/ld+json"">
{
        ""@context"": ""http://schema.org"",
        ""@type"": ""VideoObject"",
        ""@id"": ""https://play.bespotful.com/8994"",
        ""url"": ""https://play.bespotful.com/8994"",
        ""embedUrl"": ""https://play.bespotful.com/8994"",
        ""name"": ""【動画で検診予約】こはや脳神経外科クリニック _小早 徳正院長_EPARK人間ドック"",


        ""description"": ""人間ドック・検診業界初！動画を観て検診予約ができます。

こはや脳神経外科クリニック 小早 徳正院長のインタビュー動画を観て、EPARK人間ドックサイトを通して人間ドック・検診予約ができます。主な検診コースは、脳ドックです。

【施設情報】
医院名：こはや脳神経外科クリニック
住所：兵庫県神戸市
最寄り駅：ＪＲ神戸線 垂水駅

【こはや脳神経外科クリニックの検査項目】
主な検診コース:脳ドック
主な検査内容:MRI/MRA、血液検査、CT"",


        ""thumbnailURL"": ""https://assets.bespotful.com/spotful-images/1627/53kohaya_1525937566_1627-thumbnail.png"",
        ""UploadDate"": ""2018-07-21"",
        ""author"": {
                ""@type"": ""organization"",
                ""name"": ""EPARK人間ドック""
        }
}
</script>

<script type=""application/ld+json"">
{
        ""@context"": ""http://schema.org"",
        ""@type"": ""VideoObject"",
        ""@id"": ""https://play.bespotful.com/10839"",
        ""url"": ""https://play.bespotful.com/10839"",
        ""embedUrl"": ""https://play.bespotful.com/10839"",
        ""name"": ""【動画で検診予約】施設紹介1分動画_こはや脳神経外科クリニック"",


        ""description"": ""人間ドック・検診業界初！動画を観て検診予約ができます。

こはや脳神経外科クリニックの健診施設1分動画を観て、EPARK人間ドックサイトを通して人間ドック・検診予約ができます。

【施設情報】
医院名：こはや脳神経外科クリニック
住所：兵庫県神戸市
最寄り駅：ＪＲ神戸線 垂水駅

【こはや脳神経外科クリニックの検査項目】
主な検診コース:脳ドック
主な検査内容:MRI/MRA、血液検査、CT"",


        ""thumbnailURL"": ""https://assets.bespotful.com/spotful-images/1627/_1542793489_1627-thumbnail.jpg"",
        ""UploadDate"": ""2018-11-21"",
        ""author"": {
                ""@type"": ""organization"",
                ""name"": ""EPARK人間ドック""
        }
}
</script>","小早,小早脳神経外科クリニック","04","0",,,"2017-07-31 00:00:00","2019-09-19 10:07:39","system","epkdoc01","0","0",
"20221","m6398069","D20221","K10142768","赤坂一ツ木通りクリニック","あかさかひとつぎどおりくりにっく","107-0052","13","131032","赤坂3‐15‐9","ACRビル3F","139.7368520","35.6743018",,"https://maps.google.co.jp/maps?f=q&source=embed&hl=ja&geocode=&q=%E6%B8%AF%E5%8C%BA%E8%B5%A4%E5%9D%82%EF%BC%93%EF%BC%8D%EF%BC%91%EF%BC%95%EF%BC%8D%EF%BC%99&aq=&sll=35.630618,139.643896&sspn=0.001842,0.002411&brcurrent=3,0x60188c7f3547b8b9:0xfe2d6a7078e802d1,0&ie=UTF8&hq=&hnear=%E3%80%92107-0052+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%B5%A4%E5%9D%82%EF%BC%93%E4%B8%81%E7%9B%AE%EF%BC%91%EF%BC%95%E2%88%92%EF%BC%99&ll=35.674341,139.73663&spn=0.001841,0.002411&t=m&z=14&layer=c&cbll=35.674257,139.736592&panoid=P3lHrW4sw7sCq-uLI3hbNA&cbp=12,36.24,,0,-13.82&output=svembed","03-5544-8205",,,,,,,,,,,,,,,,,"年末年始","※心臓ドック・メタボドックに関しましては、火曜日・金曜日の午後のみの受診となります。<br>","午前08:30～12:30　午後13:30～17:30","307","1087","１番出口から徒歩2分","303","1047","10番出口から徒歩5分","302","1047","10番出口から徒歩5分",,,,,,,,,,,"松田 就人","【略歴】
1998年　獨協医科大学医学部 卒業","54","500","0",,,"0","1","0","<style>
#localNav ul li:nth-child(6) { display:none; }
#localNav { height:220px; }
#localNav ul { height:220x; }
</style>
<script type=""application/ld+json"">
{
        ""@context"": ""http://schema.org"",
        ""@type"": ""VideoObject"",
        ""@id"": ""https://play.bespotful.com/8131"",
        ""url"": ""https://play.bespotful.com/8131"",
        ""embedUrl"": ""https://play.bespotful.com/8131"",
        ""name"": ""【施設1分動画】赤坂一ツ木通りクリニック_人間ドック・検診の予約_EPARK人間ドック"",


        ""description"": ""人間ドック・検診業界初！動画を観て検診予約ができます。

赤坂一ツ木通りクリニックの健診施設1分動画を観て、EPARK人間ドックサイトを通して人間ドック・検診予約ができます。

【施設情報】
医院名：赤坂一ツ木通りクリニック
住所：東京都港区
最寄り駅：東京メトロ千代田線(綾瀬－代々木上原)赤坂(東京都)駅

【赤坂一ツ木通りクリニックの検査項目】
主な検診コース:心臓ドック"",


        ""thumbnailURL"": ""https://assets.bespotful.com/spotful-images/1627/_1526352646_1627-thumbnail.png"",
        ""UploadDate"": ""2018-05-15"",
        ""author"": {
                ""@type"": ""organization"",
                ""name"": ""EPARK人間ドック""
        }
}
</script>",,"05","0",,,"2017-07-31 00:00:00","2019-07-05 12:52:44","system","epkdoc01","0","0",
"20658","m6448110","D20658","K10175490","お台場海浜公園　虹橋クリニック","おだいばかいひんこうえんにじはしくりにっく","135-0091","13","131032","台場2-2-4","台場クリニックモール2F","0.0000000","0.0000000",,"https://www.google.com/maps/embed?pb=!4v1528868769527!6m8!1m7!1srRnm_DWNH6wPMbHOqYrd5Q!2m2!1d35.63025073117299!2d139.7809680066682!3f236.6618034293208!4f20.57095229989274!5f0.4000000000000002","03-3529-2284",,,,,,,,,,,,,,,,,"土曜午後","上記時間は受付時間です。",,"321","1204","南口より徒歩2分","322","1216","A出口より徒歩5分",,,,,,,,,,,,,,"院長：金子 亨","【略歴】
1990年　新潟大学医学部 卒業
1991年　新潟県立中央病院 勤務
1992年　長岡中央総合病院 勤務
1993年　刈羽郡総合病院 勤務
1994年　佐渡総合病院 勤務
1996年　新潟大学医学部附属病院 勤務
1998年　医療法人なごみ会三井病院 副院長就任
2002年　瀬田クリニック新横浜 勤務
2006年　瀬田クリニック新横浜 院長就任
2012年　瀬田クリニックグループ 医療連携センター 院長就任
2014年　お台場海浜公園 虹橋クリニック 開院
【資格】
日本産科婦人科学会認定 産婦人科専門医","170","5800","0",,,"0","1","0","<div id=""movieArea""><iframe src='https://play.bespotful.com/9547' frameborder='0' scrolling='no' allowfullscreen width='560' height='315'></iframe></div>

<script type=""application/ld+json"">
{
        ""@context"": ""http://schema.org"",
        ""@type"": ""VideoObject"",
        ""@id"": ""https://play.bespotful.com/9547"",
        ""url"": ""https://play.bespotful.com/9547"",
        ""embedUrl"": ""https://play.bespotful.com/9547"",
        ""name"": ""【動画で検診予約】お台場海浜公園 虹橋クリニック_ 金子 亨 院長_EPARK人間ドック"",


        ""description"": ""人間ドック・検診業界初！動画を観て検診予約ができます。

お台場海浜公園 虹橋クリニック_金子 亨 院長のインタビュー動画を観て、EPARK人間ドックサイトを通して人間ドック・検診予約ができます。主な検診コースは、乳がん検診、子宮がん検診、婦人科検診です。

【施設情報】
医院名：お台場海浜公園 虹橋クリニック
住所：東京都港区台場
最寄り駅：ゆりかもめ線「お台場海浜公園」駅

【お台場海浜公園 虹橋クリニックの検査項目】
主な検診コース:乳がん検診、子宮がん検診、婦人科検診
主な検査内容:エコー"",


        ""thumbnailURL"": ""https://i.ytimg.com/vi/yosPzoAegf0/maxresdefault.jpg"",
        ""UploadDate"": ""2018-08-13"",
        ""author"": {
                ""@type"": ""organization"",
                ""name"": ""EPARK人間ドック""
        }
}
</script>

<script type=""application/ld+json"">
{
        ""@context"": ""http://schema.org"",
        ""@type"": ""VideoObject"",
        ""@id"": ""https://play.bespotful.com/12121"",
        ""url"": ""https://play.bespotful.com/12121"",
        ""embedUrl"": ""https://play.bespotful.com/12121"",
        ""name"": ""【施設1分動画】お台場海浜公園 虹橋クリニック_人間ドック・検診の予約_EPARK人間ドック"",


        ""description"": ""人間ドック・検診業界初！動画を観て検診予約ができます。

お台場海浜公園 虹橋クリニックの健診施設1分動画を観て、EPARK人間ドックサイトを通して人間ドック・検診予約ができます。

【施設情報】
医院名：お台場海浜公園 虹橋クリニック
住所：東京都港区
最寄り駅：お台場海浜公園駅/東京テレポート駅

【お台場海浜公園 虹橋クリニックの検査項目】
主な検診コース:乳がん検診・子宮がん検診・婦人科検診"",


        ""thumbnailURL"": ""https://assets.bespotful.com/spotful-images/1627/_1554103579_1627-thumbnail.jpg"",
        ""UploadDate"": ""2019-04-01"",
        ""author"": {
                ""@type"": ""organization"",
                ""name"": ""EPARK人間ドック""
        }
}
</script>",,"10","0",,,"2018-06-13 14:42:17","2019-09-25 19:36:27","epkdoc01","epkdoc01","0","0",
"20454","m6472121","D20454","K10171511","池袋ドルフィンクリニック","いけぶくろどるふぃんくりにっく","171-0022","13","131164","南池袋2-45-3","としまエコミューゼタウン2F","0.0000000","0.0000000",,"https://www.google.com/maps/embed?pb=!1m0!4v1510710307405!6m8!1m7!1sEKy0X-q_6XdoX3D7yMSzMg!2m2!1d35.72622287603185!2d139.7162321271101!3f101.66457678985523!4f24.92779194784285!5f0.4000000000000002","03-5904-8177",,,,,,,,,,,,,,,,,"年末年始","受付時間：診療時間30分前まで受付

",,"186","409","1番出口奥の地下通路より直結しています",,,,,,,,,,,,,,,,,,,"243","5800","0",,,"0","1","0","<!--

<div id=""movieArea""><iframe src='https://play.bespotful.com/9176' frameborder='0' scrolling='no' allowfullscreen width='560' height='315'></iframe></div>

<script type=""application/ld+json"">
{
        ""@context"": ""http://schema.org"",
        ""@type"": ""VideoObject"",
        ""@id"": ""https://play.bespotful.com/9176"",
        ""url"": ""https://play.bespotful.com/9176"",
        ""embedUrl"": ""https://play.bespotful.com/9176"",
        ""name"": ""【動画で検診予約】池袋ドルフィンクリニック_山崎 有啓院長_EPARK人間ドック"",


        ""description"": ""人間ドック・検診業界初！動画を観て検診予約ができます。

池袋ドルフィンクリニック 山崎 有啓院長のインタビュー動画を観て、EPARK人間ドックサイトを通して人間ドック・検診予約ができます。主な検診コースは、人間ドックです。

【施設情報】
医院名：池袋ドルフィンクリニック
住所：東京都豊島区
最寄り駅：東京メトロ有楽町線東池袋駅

【池袋ドルフィンクリニックの検査項目】
主な検診コース:人間ドック
主な検査内容:X線検査"",


        ""thumbnailURL"": ""https://assets.bespotful.com/spotful-images/1627/17_1524553009_1627-thumbnail.png"",
        ""UploadDate"": ""2018-07-23"",
        ""author"": {
                ""@type"": ""organization"",
                ""name"": ""EPARK人間ドック""
        }
}
</script>
<script type=""application/ld+json"">
{
        ""@context"": ""http://schema.org"",
        ""@type"": ""VideoObject"",
        ""@id"": ""https://play.bespotful.com/11351"",
        ""url"": ""https://play.bespotful.com/11351"",
        ""embedUrl"": ""https://play.bespotful.com/11351"",
        ""name"": ""【施設1分動画】池袋ドルフィンクリニック_人間ドック・検診の予約_EPARK人間ドック"",


        ""description"": ""人間ドック・検診業界初！動画を観て検診予約ができます。

池袋ドルフィンクリニックの健診施設1分動画を観て、EPARK人間ドックサイトを通して人間ドック・検診予約ができます。

【施設情報】
医院名：池袋ドルフィンクリニック
住所：東京都豊島区南池袋2−45−3としまエコミューゼタウン2F
最寄り駅：東池袋駅（1番出口奥の地下通路より直結しています）

【池袋ドルフィンクリニックの検査項目】
主な検診コース:健康診断"",


        ""thumbnailURL"": ""https://assets.bespotful.com/spotful-images/1627/_1547778489_1627-thumbnail.jpg"",
        ""UploadDate"": ""2019-01-18"",
        ""author"": {
                ""@type"": ""organization"",
                ""name"": ""EPARK人間ドック""
        }
}
</script>
-->",,"10","0",,,"2017-11-15 10:43:21","2019-07-04 19:49:20","epkdoc01","epkdoc01","0","0",
