"hospital_no","option_group_cd","option_cd","option_name","confirm","price","tax_class","order","status","rgst","updt","created_id","updated_id"
"20001","16","1","胸部レントゲン",,"4320","0","1","1","2017-08-04 14:30:00","2017-10-06 10:55:28","system","A2064"
"20001","17","1","喀痰検査",,"4860","0","1","1","2017-08-04 14:30:00","2017-10-06 10:56:27","system","A2064"
"20001","18","1","便潜血2日法（検便）",,"2160","0","1","1","2017-08-04 14:30:00","2017-10-06 10:57:13","system","A2064"
"20001","19","1","認知症ドック","軽度認知障害検査、脳MRI・MRA、腫瘍マーカー（男性4項目・女性5項目）、生活習慣病検査","82080","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20001","20","1","生活習慣病血液検査","総コレステロール、LDLコレステロール、中性脂肪、1.5AG、アポリポ蛋白","5400","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20001","21","1","アミノインデックス","早期がんリスク検査　男性4種類　女性5種類　（胃がん、肺がん、大腸がん、前立腺がん、乳がん、子宮・卵巣がん）","37000","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20002","1","1","胃バリウム",,"0","0","1","1","2017-08-07 18:00:00","2017-08-07 18:00:00","system","system"
"20002","2","1","腹部エコー",,"0","0","1","1","2017-08-07 18:00:00","2017-08-07 18:00:00","system","system"
"20002","3","1","腫瘍マーカー（ＡＦＰ定量ＣＥＡ・ＣＡ１９－９・ＳＣＣ）",,"0","0","1","1","2017-08-07 18:00:00","2017-08-07 18:00:00","system","system"
"20002","4","1","骨密度測定（レントゲン撮影ＣＸＤ法）",,"0","0","1","1","2017-08-07 18:00:00","2017-08-07 18:00:00","system","system"
"20002","5","1","便潜血",,"0","0","1","1","2017-08-07 18:00:00","2017-08-07 18:00:00","system","system"
"20002","6","1","眼底検査",,"0","0","1","1","2017-08-07 18:00:00","2017-08-07 18:00:00","system","system"
"20002","7","1","LOX-index検査","脳梗塞や心筋梗塞の発症リスクを検査します。","12000","0","1","1","2017-08-07 18:00:00","2017-10-04 13:32:18","system","A2064"
"20002","7","2","アミノインデックスがんリスク・スクリーニング（AICS）","男性AICS【５種】・女性AICS【６種】","24840","0","2","1","2017-09-10 19:38:20","2017-09-10 19:43:06","A2062","A2062"
"20002","8","1","ＣＲＰ：炎症マーカー（肝炎と同時） ",,"0","0","1","1","2017-08-07 18:00:00","2017-08-07 18:00:00","system","system"
"20002","9","1","心エコー",,"0","0","1","1","2017-08-07 18:00:00","2017-08-07 18:00:00","system","system"
"20002","10","1","ＢＮＰ：心筋ストレスマーカー（血液検査）",,"0","0","1","1","2017-08-07 18:00:00","2017-08-07 18:00:00","system","system"
"20002","11","1","胃がんリスク検査（ＰＥＧ法）",,"5000","0","1","1","2017-08-07 18:00:00","2017-08-07 18:00:00","system","system"
"20002","12","1","頸部エコー（ＩＭＴ）",,"3500","0","1","1","2017-08-07 18:00:00","2017-08-07 18:00:00","system","system"
"20002","13","1","動脈硬化検査（ＣＡＶＩ）　血管年齢 ",,"2600","0","1","1","2017-08-07 18:00:00","2017-08-07 18:00:00","system","system"
"20002","14","1","便潜血",,"1000","0","1","1","2017-08-07 18:00:00","2017-08-07 18:00:00","system","system"
"20002","15","1","眼底検査",,"1200","0","1","1","2017-08-07 18:00:00","2017-08-07 18:00:00","system","system"
"20002","16","1","呼気検査（スパイロメーター）",,"3000","0","1","1","2017-08-07 18:00:00","2017-08-07 18:00:00","system","system"
"20002","17","1","血液型（Ａ・Ｂ・Ｏ・ＡＢ）Ｒｈ（-）（+）肝炎と同時",,"800","0","1","1","2017-08-07 18:00:00","2017-08-07 18:00:00","system","system"
"20002","18","1","ＰＳＡ値（検診・ドックと同時の場合）",,"1400","0","1","1","2017-08-07 18:00:00","2017-08-07 18:00:00","system","system"
"20002","19","1","梅毒反応",,"0","0","1","1","2017-08-07 18:00:00","2017-08-07 18:00:00","system","system"
"20002","20","1","クラミジア・淋菌検査（尿検査による判定） ",,"0","0","1","1","2017-08-07 18:00:00","2017-08-07 18:00:00","system","system"""
"20002","21","1","性器ヘルペス（血液）・ＨＢｓ抗原・ＨＢｓ抗体・ＨＣＶ抗体",,"0","0","1","1","2017-08-07 18:00:00","2017-08-07 18:00:00","system","system"
"20002","22","1","骨密度測定（レントゲン撮影ＣＸＤ法）",,"3150","0","1","1","2017-08-07 18:00:00","2017-08-07 18:00:00","system","system"
"20002","23","1","胃ピロリ菌検査（呼気検査）",,"10000","0","1","1","2017-08-07 18:00:00","2017-08-07 18:00:00","system","system"
"20002","24","1","ＬＯＸ－インデックス（脳梗塞・心筋梗塞）",,"12000","0","1","1","2017-08-07 18:00:00","2017-08-07 18:00:00","system","system"
"20002","25","1","アミノインデックス（がんリスク検査）",,"18900","0","1","1","2017-08-07 18:00:00","2017-08-07 18:00:00","system","system"
"20002","26","1","ＭＲＩ（頭部ＭＲＩ・ＭＲＡ撮影）",,"18900","0","1","1","2017-08-07 18:00:00","2017-08-07 18:00:00","system","system"
"20002","27","1","ＨＩＶ　ＨＩＶ－１．２抗原・抗体ーＣＬＩＡ法",,"4000","0","1","1","2017-08-07 18:00:00","2017-08-07 18:00:00","system","system"
"20003","1","1","経口内視鏡",,"4320","0","1","1","2018-03-29 11:37:55","2018-03-29 11:37:55","A2062","A2062"
"20003","1","2","経口内視鏡（鎮静剤あり）",,"8532","0","2","1","2018-03-29 15:28:24","2018-03-29 15:28:24","A2636","A2636"
"20003","2","1","「脳梗塞」発症リスク検査（月～土）",,"10800","0","1","1","2018-09-04 10:34:33","2018-09-04 10:34:33","A1589","A1589"
"20003","3","1","「脳梗塞・心筋梗塞」発症リスク検査（月～土）",,"16200","0","1","1","2018-09-04 10:36:06","2018-09-04 10:36:06","A1589","A1589"
"20003","4","1","【50歳以上】早期認知症検査+早期アルツハイマー検査","早期認知症検査はMMS検査で行います。早期アルツハイマー検査はVSRAD検査で行います。","10260","0","1","1","2018-09-04 10:38:25","2018-09-04 10:38:25","A1589","A1589"
"20003","5","1","肺がん検査（月～土）",,"12960","0","1","1","2018-09-04 10:39:08","2018-09-04 10:39:08","A1589","A1589"
"20003","6","1","頸動脈エコー（月～土）",,"8640","0","1","1","2018-09-04 10:39:50","2018-09-04 10:39:50","A1589","A1589"
"20005","1","1","①CEA（主に大腸・転移性肝がん）",,"3456","0","1","1","2017-08-04 14:30:00","2017-10-06 09:17:45","system","A1589"
"20005","1","2","②α-フェトプロテイン（主に肝臓がん）",,"3456","0","2","1","2017-08-04 14:30:00","2017-10-06 09:18:05","system","A1589"
"20005","1","3","③CA19-9（主に膵臓がん）",,"3672","0","3","1","2017-08-04 14:30:00","2017-10-06 09:18:31","system","A1589"
"20005","1","4","④シフラ（主に肺がん）",,"4320","0","4","1","2017-08-04 14:30:00","2017-10-06 09:18:55","system","A1589"
"20005","1","5","⑤SCC（主に食道、子宮頸がん）",,"3456","0","5","1","2017-08-04 14:30:00","2017-10-06 09:19:38","system","A1589"
"20005","1","6","⑥SLX（主に肺腺、膵臓がん）",,"3888","0","6","1","2017-08-04 14:30:00","2017-10-06 09:19:59","system","A1589"
"20005","1","7","⑦CA125（主に卵巣・子宮がん）",,"3888","0","7","1","2017-08-04 14:30:00","2017-10-06 09:20:23","system","A1589"
"20005","1","8","⑧CA15-3（主に卵巣・乳がん）",,"3672","0","8","1","2017-08-04 14:30:00","2017-10-06 09:20:49","system","A1589"
"20005","1","9","⑨PSA（主に前立線がん）",,"3672","0","9","1","2017-08-04 14:30:00","2017-10-06 09:21:30","system","A1589"
"20005","1","10","男性基本セット：①、②、③、④、⑨",,"8100","0","10","1","2017-08-04 14:30:00","2017-10-06 09:22:30","system","A1589"
"20005","1","11","男性フルセット:基本セット＋⑤、⑥",,"11880","0","11","1","2017-08-04 14:30:00","2017-10-06 09:23:10","system","A1589"
"20005","1","12","女性基本セット：①、②、③、④、⑦",,"8100","0","12","1","2017-08-04 14:30:00","2017-10-06 09:23:34","system","A1589"
"20005","1","13","女性フルセット:基本セット＋⑤、⑥、⑧",,"14040","0","13","1","2017-08-04 14:30:00","2017-10-06 09:23:59","system","A1589"
"20005","2","1","肝炎ウイルス検査","HCV抗体・HBｓ抗原検査によりC・B型肝炎ウイルス感染の有無を調べます。","4320","0","1","1","2017-08-04 14:30:00","2017-10-06 09:24:24","system","A1589"
"20005","3","1","乳房視触診・マンモグラフィ",,"6480","0","1","1","2017-08-04 14:30:00","2017-10-06 09:25:06","system","A1589"
"20005","3","2","乳房視触診・超音波",,"6480","0","2","1","2017-08-04 14:30:00","2017-10-06 09:25:35","system","A1589"
"20005","3","3","マンモグラフィ",,"5400","0","3","1","2017-08-04 14:30:00","2017-10-06 09:26:12","system","A1589"
"20005","3","4","乳房超音波",,"5400","0","4","1","2017-08-04 14:30:00","2017-10-06 09:26:35","system","A1589"
"20005","4","1","子宮頸部細胞診・内診・子宮経膣超音波",,"10800","0","1","1","2017-08-04 14:30:00","2017-10-06 09:27:08","system","A1589"
"20005","4","2","子宮体部細胞診",,"7560","0","2","1","2017-08-04 14:30:00","2017-10-06 09:27:37","system","A1589"
"20005","4","3","ヒトパピローマウイルス検査(HPV)",,"10800","0","3","1","2017-08-04 14:30:00","2017-12-28 10:03:47","system","A2062"
"20005","4","4","骨盤ＭＲＩ検査（子宮、卵巣の検査です。）",,"19440","0","4","1","2017-08-04 14:30:00","2017-10-06 09:28:44","system","A1589"
"20005","5","1","MR検査","脳卒中などの脳血管障害を早期に発見するために、脳血管撮影（MRA）や脳断層撮影（MRI）により、様々な角度から脳の状態をチェックする検査です。","27000","0","1","1","2017-08-04 14:30:00","2017-10-06 09:29:07","system","A1589"
"20005","6","1","頸椎検査","頸椎MRI、レントゲンにより、頸椎疾患の予防、早期発見を目的とした検査で、頸部痛や肩こり、手のしびれが気になる方のコースです。","19440","0","1","1","2017-08-04 14:30:00","2017-10-06 09:29:35","system","A1589"
"20005","7","1","腰椎検査","腰椎MRI、レントゲンにより、腰椎疾患の予防、早期発見を目的とした検査で、腰部の痛みや足のしびれなどが気になる方のコースです。","19440","0","1","1","2017-08-04 14:30:00","2017-10-06 09:30:17","system","A1589"
"20005","8","1","肺ヘリカルCT検査",,"12960","0","1","1","2017-08-04 14:30:00","2017-10-06 09:31:02","system","A1589"
"20005","8","2","内臓脂肪測定CT検査",,"5400","0","2","1","2017-08-04 14:30:00","2017-10-06 09:37:00","system","A1589"
"20005","9","1","骨密度検査","骨粗しょう症を早期発見するための検査です。","1944","0","1","1","2017-08-04 14:30:00","2017-10-06 09:37:36","system","A1589"
"20005","10","1","動脈硬化検査",,"8640","0","1","1","2017-08-04 14:30:00","2017-10-06 09:38:08","system","A1589"
"20005","10","2","頸動脈超音波検査のみ","動脈硬化の程度を超音波により検査いたします。","7128","0","2","1","2017-08-04 14:30:00","2017-10-06 09:38:48","system","A1589"
"20005","10","3","動脈硬化度測定検査のみ","血管の硬さや狭窄を診断するスクリーニング検査です。症状が現れにくい血管の疾患を早期発見します。","3240","0","3","1","2017-08-04 14:30:00","2017-10-06 09:39:15","system","A1589"
"20005","11","1","甲状腺機能検査(採血による検査)","甲状腺機能亢進や低下の状態を調べる検査です。","8640","0","1","1","2017-08-04 14:30:00","2017-10-06 09:39:45","system","A1589"
"20005","12","1","大腸内視鏡検査（下部消化管内視鏡）","直腸や結腸の状態を直接観察する検査です。","21600","0","1","1","2017-08-04 14:30:00","2017-10-06 09:40:14","system","A1589"
"20005","13","1","胃内視鏡検査（上部消化管内視鏡）","食道、胃、十二指腸までの範囲を直接観察する検査です。","16200","0","1","1","2017-08-04 14:30:00","2017-10-06 09:41:39","system","A1589"
"20005","14","1","経鼻内視鏡検査（上部消化管内視鏡）","鼻から挿入し食道、胃、十二指腸までを直接観察する検査です。","21600","0","1","1","2017-08-04 14:30:00","2017-10-06 09:42:08","system","A1589"
"20005","15","1","ヘリコバクターピロリ菌検査","現在、胃内に存在するピロリ菌の量を調べます。","6480","0","1","1","2017-08-04 14:30:00","2017-10-06 09:42:33","system","A1589"
"20005","16","1","ペプシノーゲン検査","採血により、萎縮性胃炎の診断に有効です。","4320","0","1","1","2017-08-04 14:30:00","2017-10-06 09:43:05","system","A1589"
"20005","17","1","喀痰（かくたん）検査","肺や気管支から分泌される粘液の細胞を検査し、肺癌の早期発見に有効です。","4320","0","1","1","2017-08-04 14:30:00","2017-10-06 09:43:27","system","A1589"
"20005","18","1","心臓超音波検査","心臓の動きや血流の状態を超音波で診断する検査です。","10800","0","1","1","2017-08-04 14:30:00","2017-10-06 09:44:00","system","A1589"
"20005","19","1","ホルター心電図血圧検査 （24時間心電図・血圧検査）","24時間の心電図と血圧を調べる検査装置です。不整脈・虚血性心疾患・高血圧の診断には有効な検査法といえます。","21600","0","1","1","2017-08-04 14:30:00","2017-10-06 09:44:48","system","A1589"
"20005","20","1","終夜睡眠ポリグラフィ検査","睡眠時無呼吸障害を調べる検査です。２就寝中の呼吸状態を調べます。","10800","0","1","1","2017-08-04 14:30:00","2017-10-06 09:40:38","system","A1589"
"20007","1","1","橈骨骨密度",,"3240","0","1","1","2017-08-04 14:30:00","2017-10-06 11:45:50","system","A2064"
"20007","2","1","胃がんリスク検査（ABC分類）","ペプシノーゲン法（Ⅰ/Ⅱ）
ヘリコバクター・ピロリ抗体IgG","5400","0","1","1","2017-08-04 14:30:00","2017-10-06 12:04:45","system","A2064"
"20007","2","2","大腸がん検査（便）",,"1500","0","2","X","2017-08-04 14:30:00","2017-10-06 11:57:10","system",
"20007","2","3","ヘリコバクター・ピロリ菌",,"2000","0","3","X","2017-08-04 14:30:00","2017-10-06 11:57:52","system",
"20007","3","1","NT-proBNP検査（心不全マーカー）",,"3240","0","1","1","2017-08-04 14:30:00","2017-10-06 12:00:47","system","A2064"
"20007","4","1","膠原病セット",,"3132","0","1","1","2017-08-04 14:30:00","2017-10-06 12:08:33","system","A2064"
"20007","5","1","甲状腺ホルモン検査","TSH・FT4・TSH・FT4・FT3","6696","0","1","1","2017-08-04 14:30:00","2017-10-06 12:12:35","system","A2064"
"20007","5","2","甲状腺ホルモン検査 FT3のみ追加",,"2000","0","2","X","2017-08-04 14:30:00","2017-10-06 12:10:20","system",
"20007","6","1","クラミジアPCR",,"3800","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20007","6","2","トリコモナス・カンジダ感染",,"2000","0","2","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20007","6","3","淋菌PCR",,"3800","0","3","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20007","6","4","ハイリスクHPV検査",,"5000","0","4","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20007","6","5","HIV抗体検査",,"3800","0","5","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20007","6","6","梅毒反応",,"1900","0","6","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20007","6","7","STD検査セット",,"7000","0","7","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20007","6","8","肝炎セット",,"3300","0","8","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20007","6","9","風疹抗体価（HI）",,"2900","0","9","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20007","6","10","トキソプラズマ抗体",,"2400","0","10","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20007","6","11","HTLV-I（ATLA）抗体",,"3800","0","11","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20007","6","12","ムンプス抗体",,"2000","0","12","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20007","6","13","ブライダルチェック",,"14000","0","13","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20007","6","14","ミドルエイジチェック",,"20000","0","14","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20007","7","1","LOX-index",,"12000","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20007","7","2","動脈硬化診断セット",,"13500","0","2","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20007","7","3","脳ドック（頭部MRI・MRA）",,"30000","0","3","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20007","8","1","Viewアレルギー39",,"10000","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20007","9","1","消化器腫瘍マーカー",,"5500","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20007","9","2","婦人科腫瘍マーカー",,"5500","0","2","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20007","9","3","消化器腫瘍マーカー+婦人科腫瘍マーカー",,"7500","0","3","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20007","10","1","マンモグラフィ",,"6000","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20007","10","2","乳腺科カウンセリング",,"4000","0","2","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20007","11","1","便潜血（二日法）",,"1620","0","1","1","2017-10-06 11:50:39","2017-10-06 11:50:39","A2064","A2064"
"20007","12","1","ヘリコバクター・ピロリ抗体IgG",,"5400","0","1","1","2017-10-06 11:56:14","2017-10-06 11:56:14","A2064","A2064"
"20007","13","1","ヘリコバクター・ピロリ菌",,"2160","0","1","1","2017-10-06 12:00:18","2017-10-06 12:00:18","A2064","A2064"
"20007","14","1","甲状腺ホルモン検査","FT3のみ","2160","0","1","1","2017-10-06 12:11:00","2017-10-06 12:13:33","A2064","A2064"
"20008","1","1","心電図（12誘導）",,"1940","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20008","2","1","喀痰細胞診",,"3780","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20008","3","1","胸部X線　直接撮影",,"2160","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20008","4","1","骨密度",,"3300","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20008","5","1","胃部X線　直接撮影（胃透視）",,"12960","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20008","6","1","眼底カメラ撮影",,"2160","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20008","7","1","腹部ＣＴ（内臓脂肪検査）",,"4320","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20008","8","1","腹部CT",,"12960","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20008","9","1","胸部ＣＴ",,"12960","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20008","10","1","Ｃ型肝炎（ＨＣＶ抗体）",,"2160","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20008","11","1","Ｂ型肝炎（ＨＢs抗原）",,"1080","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20008","12","1","マンモグラフィー（２方向）",,"5400","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20008","13","1","マンモグラフィー（２方向）＋視触診",,"6480","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20008","14","1","乳腺エコー",,"3780","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20008","15","1","乳腺エコー＋視触診",,"4860","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20008","16","1","子宮頚部細胞診（医師採取）＋内診",,"4320","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20008","17","1","腹部エコー（肝・胆・膵・腎・脾）",,"5400","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20008","18","1","頸動脈エコー",,"5400","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20008","19","1","上部消化管内視鏡検査（採血含む）",,"16200","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20008","20","1","胃部レントゲンから内視鏡に変更差額",,"3240","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20008","21","1","ヘリコバクター・ピロリ菌（採血）",,"2160","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20008","22","1","ペプシノーゲン検査",,"3240","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20008","23","1","甲状腺検査（ＴＳＨ・ＦＴ３・ＦＴ４）",,"4320","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20008","24","1","便潜血（２日法）",,"1620","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20008","25","1","ＰＳＡ",,"2160","0","1","1","2017-08-04 14:30:00","2017-10-06 11:36:19","system","A2064"
"20008","25","2","ＣＥＡ",,"2160","0","2","1","2017-10-06 11:36:54","2017-10-06 11:36:54","A2064","A2064"
"20008","25","3","ＣＡ125",,"2160","0","3","1","2017-10-06 11:37:22","2017-10-06 11:37:22","A2064","A2064"
"20008","25","4","ＡＦＰ",,"2160","0","4","1","2017-10-06 11:37:45","2017-10-06 11:37:45","A2064","A2064"
"20010","1","1","サイログロブリン、TSH、FT3、FT4",,"4320","0","1","1","2017-08-04 14:30:00","2017-10-06 11:00:22","system","A2064"
"20010","2","1","抗ヘリコバクター・ピロリ、HBs抗原定量、HCV抗体、HIV抗体",,"3240","0","1","1","2017-08-04 14:30:00","2017-10-06 11:00:42","system","A2064"
"20010","3","1","PT、APTT",,"3240","0","1","1","2017-08-04 14:30:00","2017-10-06 11:04:40","system","A2064"
"20010","4","1","CEA、SCC抗原、PSA タンデム（男性）、CA19-9、CA15-3（女性）",,"6480","0","1","1","2017-08-04 14:30:00","2017-10-06 11:05:35","system","A2064"
"20010","5","1","経鼻上部消化管内視鏡検査",,"18900","0","1","1","2017-08-04 14:30:00","2017-08-04 14:30:00","system","system"
"20010","6","1","腹部超音波検査","※水曜日のみの対応となります","6480","0","1","1","2017-08-04 14:30:00","2018-02-02 13:16:32","system","A2062"
"20010","7","1","甲状腺エコー","※水曜日のみの対応となります","3240","0","1","1","2018-01-22 16:39:39","2018-02-02 13:16:44","A2064","A2062"
